european_countries;p_age;p_gender;p_education;p_country;p_id;uri
spain;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Spain
germany;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Germany
france;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/France
germany;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Germany
poland;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Poland
germany;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Germany
united kingdom;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/United_Kingdom
france;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/France
germany;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Germany
italy;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Italy
spain;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Spain
germany;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Germany
france;48;Female;Diplom;germany;97;http://dbpedia.org/resource/France
austria;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Austria
iceland;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Iceland
sweden;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Sweden
portugal;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Portugal
germany;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Germany
poland;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Poland
spain;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Spain
united kingdom;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/United_Kingdom
germany;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Germany
france;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/France
italy;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Italy
spain;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Spain
france;23;Female;Master's degree;england;101;http://dbpedia.org/resource/France
italy;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Italy
spain;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Spain
france;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/France
germany;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Germany
spain;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Spain
italy;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Italy
republic of ireland;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Republic_of_Ireland
united kingdom;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/United_Kingdom
germany;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Germany
france;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/France
germany;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Germany
italy;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Italy
malta;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Malta
france;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/France
germany;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Germany
germany;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Germany
denmark;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Denmark
poland;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Poland
lithuania;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Lithuania
germany;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Germany
sweden;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Sweden
