furniture;p_age;p_gender;p_education;p_country;p_id;uri
bathtub;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Accessible_bathtub
sofa;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Sofia
table;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Table_tennis
chair;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Professor
chair;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Professor
table;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Table_tennis
sofa;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Sofia
bed;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Finistère
table;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Table_tennis
chair;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Professor
chair;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Professor
bed;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Finistère
table;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Table_tennis
couch;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Couch
bed;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Finistère
chair;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Professor
sofa;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Sofia
chair;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Professor
bed;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Finistère
bed;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Finistère
couch;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Couch
chair;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Professor
table;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Table_tennis
chair;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Professor
armchair;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/604_Records
sideboard;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Sideboard_(cards)
cabinet;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/West_Sussex
bedside table;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Nightstand
table;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Table_tennis
chair;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Professor
bed;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Finistère
bed;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Finistère
cupboard;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Cupboard
chair;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Professor
table;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Table_tennis
fridge;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Refrigerator
desk;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Drama_Desk_Award
closet;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Closet
coat rack;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Skagerrak
chair;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Professor
table;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Table_tennis
bed;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Finistère
chair;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Professor
table;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Table_tennis
couch;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Couch
chair;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Professor
chair;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Professor
table;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Table_tennis
couch;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Couch
chair;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Professor
bed;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Finistère
table;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Table_tennis
chair;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Professor
table;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Table_tennis
couch;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Couch
table;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Table_tennis
chair;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Professor
couch;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Couch
chair;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Professor
table;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Table_tennis
cupboard;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Cupboard
chair;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Professor
table;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Table_tennis
bed;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Finistère
desk;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Drama_Desk_Award
couch;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Couch
sideboard;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Sideboard_(cards)
sofa;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Sofia
wardrobe;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/The_Lion,_the_Witch_and_the_Wardrobe
dining table;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Restaurant
chair;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Professor
table;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Table_tennis
sofa;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Sofia
sofa;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Sofia
table;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Table_tennis
chair;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Professor
cupboard;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Cupboard
dining table;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Restaurant
sofa;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Sofia
sofa;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Sofia
desk;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Drama_Desk_Award
bed;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Finistère
bed;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Finistère
couch;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Couch
cabinet;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/West_Sussex
couch;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Couch
bed;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Finistère
drawers;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Chest_of_drawers
couch;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Couch
table;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Table_tennis
bed;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Finistère
bed;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Finistère
wardrobe;23;Female;Master's degree;england;101;http://dbpedia.org/resource/The_Lion,_the_Witch_and_the_Wardrobe
desk;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Drama_Desk_Award
chair;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Professor
desk;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Drama_Desk_Award
lamp;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Fluorescent_lamp
barcelona chair;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Barcelona_chair
diamond chair;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Alice_in_Chains
le corbusier lc4;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Grand_Confort
chair;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Professor
table;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Table_tennis
sofa;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Sofia
chair;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Professor
table;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Table_tennis
sofa;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Sofia
chair;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Professor
sofa;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Sofia
table;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Table_tennis
bed;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Finistère
table;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Table_tennis
sofa;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Sofia
cupboard;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Cupboard
table;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Table_tennis
chair;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Professor
