european_capital_cities;p_age;p_gender;p_education;p_country;p_id;uri
london;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/London
paris;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Paris
berlin;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Berlin
paris;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Paris
london;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/London
berlin;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Berlin
paris;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Paris
rome;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Rome
budapest;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Budapest
oslo;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Oslo
london;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/London
paris;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Paris
london;30;Female;Master's degree;France;62;http://dbpedia.org/resource/London
rome;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Rome
berlin;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Berlin
rome;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Rome
paris;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Paris
berlin;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Berlin
stockholm;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Stockholm
paris;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Paris
berlin;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Berlin
copenhagen;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Copenhagen
helsinki;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Helsinki
paris;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Paris
london;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/London
berlin;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Berlin
berlin;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Berlin
