fast_food;p_age;p_gender;p_education;p_country;p_id;uri
french fries;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/France
pizza;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Pizza
hamburger;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Hamburger_SV
hot dog;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Hot_dog
french fries;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/France
pizza;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Pizza
hamburger;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Hamburger_SV
sushi;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Sushi
hamburger;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Hamburger_SV
pizza;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Pizza
chips;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Fish_and_chips
hamburger;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Hamburger_SV
french fries;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/France
pizza;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Pizza
hamburger;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Hamburger_SV
fishandchips;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Fish_and_chips
french fries;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/France
hamburger;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Hamburger_SV
kebab;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Kebab
french fries;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/France
french fries;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/France
hamburger;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Hamburger_SV
chick nuggets;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Chicken_nugget
hamburger;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Hamburger_SV
french fries;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/France
chick nuggets;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Chicken_nugget
hamburger;0;Prefer not to say;;;68;http://dbpedia.org/resource/Hamburger_SV
french fries;0;Prefer not to say;;;68;http://dbpedia.org/resource/France
hot dog;0;Prefer not to say;;;68;http://dbpedia.org/resource/Hot_dog
hamburger;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Hamburger_SV
kebab;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Kebab
hamburger;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Hamburger_SV
burrito;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Burrito
hamburger;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Hamburger_SV
french fries;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/France
pizza;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Pizza
pizza;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Pizza
hamburger;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Hamburger_SV
taco;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Taco
hamburger;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Hamburger_SV
kebab;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Kebab
hot dog;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Hot_dog
hamburger;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Hamburger_SV
taco;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Taco
chick nuggets;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Chicken_nugget
nachos;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Nachos
burrito;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Burrito
hamburger;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Hamburger_SV
hamburger;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Hamburger_SV
french fries;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/France
pizza;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Pizza
taco;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Taco
pizza;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Pizza
icecream;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Ice_cream
hamburger;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Hamburger_SV
pizza;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Pizza
asian;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Indian_people
french fries;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/France
hamburger;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Hamburger_SV
pizza;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Pizza
hamburger;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Hamburger_SV
pizza;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Pizza
