us_companies;p_age;p_gender;p_education;p_country;p_id;uri
mcdonalds;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/McDonald's_All-American_Game
coca cola;26;Female;Master's degree;France;56;http://dbpedia.org/resource/The_Coca-Cola_Company
apple;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Apple_II
amazon;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Time_in_Brazil
marlboro;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Upper_Marlboro,_Maryland
walmart;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Walmart
morgan stanley;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Morgan_Stanley
apple;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Apple_II
ford;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Ford_Motor_Company
netflix;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Netflix
tesla;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Tesla,_Inc.
microsoft;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Microsoft_Windows
apple;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Apple_II
apple;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Apple_II
meta;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Heavy_metal_music
tesla;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Tesla,_Inc.
nike;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Nike,_Inc.
harley davidson;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Harley-Davidson
walmart;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Walmart
p&g;30;Female;Master's degree;France;62;http://dbpedia.org/resource/P._G._Wodehouse
unilever;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Unilever
coca cola;30;Female;Master's degree;France;62;http://dbpedia.org/resource/The_Coca-Cola_Company
microsoft;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Microsoft_Windows
apple;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Apple_II
tesla;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Tesla,_Inc.
apple;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Apple_II
microsoft;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Microsoft_Windows
netflix;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Netflix
tesla;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Tesla,_Inc.
microsoft;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Microsoft_Windows
ford;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Ford_Motor_Company
pfizer;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Pfizer
goldmann sachs;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Goldman_Sachs
microsoft;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Microsoft_Windows
tesla;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Tesla,_Inc.
walmart;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Walmart
coca cola;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/The_Coca-Cola_Company
google;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Google
exxon;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Exxon
nike;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Nike,_Inc.
american airlines;24;Female;Master's degree;France;69;http://dbpedia.org/resource/American_Airlines
microsoft;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Microsoft_Windows
space x;24;Female;Master's degree;France;69;http://dbpedia.org/resource/SpaceX
3m;26;Female;Master's degree;France;70;http://dbpedia.org/resource/3M
apple;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Apple_II
ibm;26;Female;Master's degree;France;70;http://dbpedia.org/resource/IBM
apple;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Apple_II
meta;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Heavy_metal_music
coca cola;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/The_Coca-Cola_Company
ford;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Ford_Motor_Company
exxon;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Exxon
mc donalds;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/McDonald's
nvidia;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Nvidia
airbnb;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Airbnb
uber;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Uber
tesla;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Tesla,_Inc.
apple;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Apple_II
amazon;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Time_in_Brazil
bank of america;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Bank_of_America
goldman sachs;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Goldman_Sachs
pfizer;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Pfizer
apple;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Apple_II
amazon;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Time_in_Brazil
tesla;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Tesla,_Inc.
walmart;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Walmart
amazon;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Time_in_Brazil
apple;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Apple_II
apple;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Apple_II
amazon;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Time_in_Brazil
tesla;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Tesla,_Inc.
facebook;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Facebook
apple;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Apple_II
google;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Google
google;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Google
facebook;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Facebook
apple;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Apple_II
berkshire hathaway;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Berkshire_Hathaway
tesla;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Tesla,_Inc.
