us_tech_companies;p_age;p_gender;p_education;p_country;p_id;uri
adobe;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Adobe_Flash
meta;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Heavy_metal_music
google;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Google
apple;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Apple_II
microsoft;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Microsoft_Windows
google;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Google
apple;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Apple_II
apple;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Apple_II
alphabet;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Alphabet_Inc.
amd;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/List_of_AMD_accelerated_processing_units
apple;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Apple_II
meta;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Heavy_metal_music
alphabet;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Alphabet_Inc.
microsoft;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Microsoft_Windows
apple;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Apple_II
meta;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Heavy_metal_music
apple;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Apple_II
google;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Google
meta;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Heavy_metal_music
apple;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Apple_II
american express;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/American_Express
delta airlines;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Delta_Air_Lines
apple;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Apple_II
google;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Google
