uri;birds;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Crow;crow;30;Female;Master's degree;france;62
http://dbpedia.org/resource/Common_nightingale;nightingale;24;Male;Bachelor's degree;germany;63
http://dbpedia.org/resource/Eagle;eagle;24;Male;Bachelor's degree;germany;63
http://dbpedia.org/resource/Parrot;parrot;24;Male;Bachelor's degree;germany;63
;nan;17;Male;Less than a high school degree;germany;64
http://dbpedia.org/resource/Pileated_woodpecker;pileated woodpecker;25;Female;High school degree or equivalent;germany;65
http://dbpedia.org/resource/Common_blackbird;blackbird;25;Female;High school degree or equivalent;germany;65
http://dbpedia.org/resource/Common_chaffinch;chaffinch;25;Female;High school degree or equivalent;germany;65
;nan;16;Male;Less than a high school degree;germany;66
http://dbpedia.org/resource/Parrot;parrot;21;Male;High school degree or equivalent;germany;67
http://dbpedia.org/resource/Sparrow;sparrow;21;Male;High school degree or equivalent;germany;67
http://dbpedia.org/resource/Eagle;eagle;0;Prefer not to say;NaN;nan;68
http://dbpedia.org/resource/Vulture;vulture;0;Prefer not to say;NaN;nan;68
http://dbpedia.org/resource/Sparrow;sparrow;0;Prefer not to say;NaN;nan;68
http://dbpedia.org/resource/Robin;robin;24;Female;Master's degree;france;69
http://dbpedia.org/resource/Magpie;magpie;24;Female;Master's degree;france;69
http://dbpedia.org/resource/Eagle;eagle;24;Female;Master's degree;france;69
;mockingjay;26;Female;Master's degree;france;70
http://dbpedia.org/resource/Raven;raven;26;Female;Master's degree;france;70
http://dbpedia.org/resource/Eagle;eagle;26;Female;Master's degree;france;70
http://dbpedia.org/resource/Common_blackbird;blackbird;34;Female;Master's degree;germany;71
http://dbpedia.org/resource/Tit_(bird);tit;34;Female;Master's degree;germany;71
http://dbpedia.org/resource/Finch;fink;34;Female;Master's degree;germany;71
;nan;54;Male;Less than a high school degree;germany;72
http://dbpedia.org/resource/Mockingbird;mockingbird;23;Male;Bachelor's degree;germany;73
http://dbpedia.org/resource/Eagle;eagle;23;Male;Bachelor's degree;germany;73
http://dbpedia.org/resource/Columbidae;pigeon;27;Male;Master's degree;germany;74
http://dbpedia.org/resource/Penguin;penguin;27;Male;Master's degree;germany;74
http://dbpedia.org/resource/Hummingbird;hummingbird;27;Male;Master's degree;germany;74
http://dbpedia.org/resource/Albatross;albatross;25;Male;Bachelor's degree;germany;75
http://dbpedia.org/resource/Gull;seagull;25;Male;Bachelor's degree;germany;75
http://dbpedia.org/resource/Raven;raven;25;Male;Bachelor's degree;germany;75
http://dbpedia.org/resource/Parrot;parrot;27;Female;Master's degree;germany;76
http://dbpedia.org/resource/Kookaburra;kookaburra;27;Female;Master's degree;germany;76
http://dbpedia.org/resource/Raven;raven;27;Female;Master's degree;germany;76
http://dbpedia.org/resource/Owl;owl;51;Male;High school degree or equivalent;germany;77
http://dbpedia.org/resource/Common_blackbird;blackbird;51;Male;High school degree or equivalent;germany;77
http://dbpedia.org/resource/Buteo;buzzard;51;Male;High school degree or equivalent;germany;77
http://dbpedia.org/resource/Common_blackbird;blackbird;26;Male;High school degree or equivalent;germany;78
http://dbpedia.org/resource/Thrush_(bird);choke;26;Male;High school degree or equivalent;germany;78
http://dbpedia.org/resource/Finch;fink;26;Male;High school degree or equivalent;germany;78
http://dbpedia.org/resource/Crow;crow;27;Male;Bachelor's degree;germany;79
http://dbpedia.org/resource/Columbidae;pigeon;27;Male;Bachelor's degree;germany;79
http://dbpedia.org/resource/Eagle;eagle;27;Male;Bachelor's degree;germany;79
http://dbpedia.org/resource/Eagle;eagle;25;Male;Master's degree;germany;80
