uri;continents;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Europe;europe;30;Female;Master's degree;france;62
http://dbpedia.org/resource/North_America;north america;30;Female;Master's degree;france;62
http://dbpedia.org/resource/Asia;asia;30;Female;Master's degree;france;62
http://dbpedia.org/resource/Africa;africa;24;Male;Bachelor's degree;germany;63
http://dbpedia.org/resource/Europe;europe;24;Male;Bachelor's degree;germany;63
http://dbpedia.org/resource/Asia;asia;24;Male;Bachelor's degree;germany;63
http://dbpedia.org/resource/Europe;europe;17;Male;Less than a high school degree;germany;64
http://dbpedia.org/resource/Africa;africa;17;Male;Less than a high school degree;germany;64
http://dbpedia.org/resource/Asia;asia;17;Male;Less than a high school degree;germany;64
http://dbpedia.org/resource/Africa;africa;25;Female;High school degree or equivalent;germany;65
http://dbpedia.org/resource/Asia;asia;25;Female;High school degree or equivalent;germany;65
http://dbpedia.org/resource/Antarctica;antarctica;25;Female;High school degree or equivalent;germany;65
http://dbpedia.org/resource/Africa;africa;16;Male;Less than a high school degree;germany;66
http://dbpedia.org/resource/Europe;europe;16;Male;Less than a high school degree;germany;66
http://dbpedia.org/resource/North_America;north america;16;Male;Less than a high school degree;germany;66
http://dbpedia.org/resource/Asia;asia;21;Male;High school degree or equivalent;germany;67
http://dbpedia.org/resource/Europe;europe;21;Male;High school degree or equivalent;germany;67
http://dbpedia.org/resource/Oceania;oceania;21;Male;High school degree or equivalent;germany;67
http://dbpedia.org/resource/Asia;asia;0;Prefer not to say;NaN;nan;68
http://dbpedia.org/resource/Europe;europe;0;Prefer not to say;NaN;nan;68
http://dbpedia.org/resource/North_America;north america;0;Prefer not to say;NaN;nan;68
http://dbpedia.org/resource/Africa;africa;24;Female;Master's degree;france;69
http://dbpedia.org/resource/Australia_(continent);australia;24;Female;Master's degree;france;69
http://dbpedia.org/resource/Europe;europe;24;Female;Master's degree;france;69
http://dbpedia.org/resource/Europe;europe;26;Female;Master's degree;france;70
http://dbpedia.org/resource/North_America;north america;26;Female;Master's degree;france;70
http://dbpedia.org/resource/Asia;asia;26;Female;Master's degree;france;70
http://dbpedia.org/resource/Europe;europe;34;Female;Master's degree;germany;71
http://dbpedia.org/resource/Asia;asia;34;Female;Master's degree;germany;71
http://dbpedia.org/resource/Africa;africa;34;Female;Master's degree;germany;71
http://dbpedia.org/resource/Africa;africa;54;Male;Less than a high school degree;germany;72
http://dbpedia.org/resource/Asia;asia;54;Male;Less than a high school degree;germany;72
http://dbpedia.org/resource/Australia_(continent);australia;54;Male;Less than a high school degree;germany;72
http://dbpedia.org/resource/Europe;europe;23;Male;Bachelor's degree;germany;73
http://dbpedia.org/resource/North_America;north america;23;Male;Bachelor's degree;germany;73
http://dbpedia.org/resource/Asia;asia;23;Male;Bachelor's degree;germany;73
http://dbpedia.org/resource/Europe;europe;27;Male;Master's degree;germany;74
http://dbpedia.org/resource/North_America;north america;27;Male;Master's degree;germany;74
http://dbpedia.org/resource/Asia;asia;27;Male;Master's degree;germany;74
http://dbpedia.org/resource/Europe;europe;25;Male;Bachelor's degree;germany;75
http://dbpedia.org/resource/Africa;africa;25;Male;Bachelor's degree;germany;75
http://dbpedia.org/resource/Asia;asia;25;Male;Bachelor's degree;germany;75
http://dbpedia.org/resource/Africa;africa;27;Female;Master's degree;germany;76
http://dbpedia.org/resource/Europe;europe;27;Female;Master's degree;germany;76
http://dbpedia.org/resource/Australia_(continent);australia;27;Female;Master's degree;germany;76
http://dbpedia.org/resource/Asia;asia;51;Male;High school degree or equivalent;germany;77
http://dbpedia.org/resource/Europe;europe;51;Male;High school degree or equivalent;germany;77
http://dbpedia.org/resource/Africa;africa;51;Male;High school degree or equivalent;germany;77
http://dbpedia.org/resource/North_America;north america;26;Male;High school degree or equivalent;germany;78
http://dbpedia.org/resource/South_America;south america;26;Male;High school degree or equivalent;germany;78
http://dbpedia.org/resource/Asia;asia;26;Male;High school degree or equivalent;germany;78
http://dbpedia.org/resource/Europe;europe;27;Male;Bachelor's degree;germany;79
http://dbpedia.org/resource/North_America;north america;27;Male;Bachelor's degree;germany;79
http://dbpedia.org/resource/Africa;africa;27;Male;Bachelor's degree;germany;79
http://dbpedia.org/resource/Africa;africa;25;Male;Master's degree;germany;80
http://dbpedia.org/resource/Europe;europe;25;Male;Master's degree;germany;80
http://dbpedia.org/resource/Africa;africa;25;Male;Bachelor's degree;germany;81
http://dbpedia.org/resource/Asia;asia;25;Male;Bachelor's degree;germany;81
http://dbpedia.org/resource/Europe;europe;25;Male;Bachelor's degree;germany;81
http://dbpedia.org/resource/Europe;europe;21;Male;High school degree or equivalent;germany;82
http://dbpedia.org/resource/Asia;asia;21;Male;High school degree or equivalent;germany;82
http://dbpedia.org/resource/Africa;africa;21;Male;High school degree or equivalent;germany;82
http://dbpedia.org/resource/Europe;europe;23;Female;Bachelor's degree;germany;83
http://dbpedia.org/resource/North_America;north america;23;Female;Bachelor's degree;germany;83
http://dbpedia.org/resource/Africa;africa;23;Female;Bachelor's degree;germany;83
