"fur","name"
"http://dbpedia.org/resource/Lenny_Kravitz","Lenny Kravitz"
"http://dbpedia.org/resource/Leonardo_Torres_y_Quevedo","Leonardo Torres y Quevedo"
"http://dbpedia.org/resource/Leroy_Lins","Leroy Lins"
"http://dbpedia.org/resource/Levitt_Ellsworth_Custer","Levitt Ellsworth Custer"
"http://dbpedia.org/resource/Lille_Metro","Lille Metro"
"http://dbpedia.org/resource/Charles_F._Kimball","Charles F. Kimball"
"http://dbpedia.org/resource/Charles_Jencks","Charles Jencks"
"http://dbpedia.org/resource/Charles_Leroux","Charles Leroux"
"http://dbpedia.org/resource/Charles_Pollock_(designer)","Charles Pollock (designer)"
"http://dbpedia.org/resource/Charles_Renard","Charles Renard"
"http://dbpedia.org/resource/Chitty_Bang_Bang_(airship)","Chitty Bang Bang (airship)"
"http://dbpedia.org/resource/Stratellite","Stratellite"
"http://dbpedia.org/resource/Strider_(1989_arcade_game)","Strider (1989 arcade game)"
"http://dbpedia.org/resource/Susannah_Scaroni","Susannah Scaroni"
"http://dbpedia.org/resource/Trooper_Johnson","Trooper Johnson"
"http://dbpedia.org/resource/Turin_Metro","Turin Metro"
"http://dbpedia.org/resource/USS_Akron","USS Akron"
"http://dbpedia.org/resource/USS_Macon_(ZRS-5)","USS Macon (ZRS-5)"
"http://dbpedia.org/resource/Delta_(airship)","Delta (airship)"
"http://dbpedia.org/resource/Edward_Maene","Edward Maene"
"http://dbpedia.org/resource/Moncton_Sports_Dome","Moncton Sports Dome"
"http://dbpedia.org/resource/Wheel_sizing","Wheel sizing"
"http://dbpedia.org/resource/Gelatine_(airship)","Gelatine (airship)"
"http://dbpedia.org/resource/Giffard_dirigible","Giffard dirigible"
"http://dbpedia.org/resource/Spy_basket","Spy basket"
"http://dbpedia.org/resource/Eta_(airship)","Eta (airship)"
"http://dbpedia.org/resource/Giuseppe_Luraghi","Giuseppe Luraghi"
"http://dbpedia.org/resource/Loral_GZ-22","Loral GZ-22"
"http://dbpedia.org/resource/Madonna_and_Child_with_Saints_Polyptych_(Duccio)","Madonna and Child with Saints Polyptych (Duccio)"
"http://dbpedia.org/resource/Mooring_mast","Mooring mast"
"http://dbpedia.org/resource/Max_Gottschalk","Max Gottschalk"
"http://dbpedia.org/resource/SSP_class_airship","SSP class airship"
"http://dbpedia.org/resource/TC-class_blimp","TC-class blimp"
"http://dbpedia.org/resource/LZ_104_(L_59)","LZ 104 (L 59)"
"http://dbpedia.org/resource/Pirelli_Internetional_Award","Pirelli Internetional Award"
"http://dbpedia.org/resource/Royal_doors","Royal doors"
"http://dbpedia.org/resource/U.S._Army_airships","U.S. Army airships"
"http://dbpedia.org/resource/The_Sign_and_the_Seal","The Sign and the Seal"
"http://dbpedia.org/resource/San_Gregorio_Polyptych","San Gregorio Polyptych"
"http://dbpedia.org/resource/Understeer_and_oversteer","Understeer and oversteer"
"http://dbpedia.org/resource/2006–07_Galatasaray_SK_Wheelchair_Basketball_Season","2006–07 Galatasaray SK Wheelchair Basketball Season"
"http://dbpedia.org/resource/2007–08_Galatasaray_SK_Wheelchair_Basketball_Season","2007–08 Galatasaray SK Wheelchair Basketball Season"
"http://dbpedia.org/resource/Bishamondai_Station","Bishamondai Station"
"http://dbpedia.org/resource/Blimp","Blimp"
"http://dbpedia.org/resource/Bob_Hassmiller","Bob Hassmiller"
"http://dbpedia.org/resource/Bob_Johnson_(basketball,_born_1917)","Bob Johnson (basketball, born 1917)"
"http://dbpedia.org/resource/Bob_Parsons_(basketball)","Bob Parsons (basketball)"
"http://dbpedia.org/resource/Bower_Studios","Bower Studios"
"http://dbpedia.org/resource/Gene_Anderson_(basketball)","Gene Anderson (basketball)"
"http://dbpedia.org/resource/George_Glamack","George Glamack"
"http://dbpedia.org/resource/George_Herbert_Scott","George Herbert Scott"
"http://dbpedia.org/resource/George_Hesik","George Hesik"
"http://dbpedia.org/resource/George_Nakashima","George Nakashima"
"http://dbpedia.org/resource/George_Nelson_(designer)","George Nelson (designer)"
"http://dbpedia.org/resource/Ark_of_the_Covenant","Ark of the Covenant"
"http://dbpedia.org/resource/Armenian_Orphan_Rug","Armenian Orphan Rug"
"http://dbpedia.org/resource/Armenian_carpet","Armenian carpet"
"http://dbpedia.org/resource/Armstrong_Rubber_Building","Armstrong Rubber Building"
"http://dbpedia.org/resource/Herbert_Carmichael_Irwin","Herbert Carmichael Irwin"
"http://dbpedia.org/resource/High_Altitude_Venus_Operational_Concept","High Altitude Venus Operational Concept"
"http://dbpedia.org/resource/Blowout_(tire)","Blowout (tire)"
"http://dbpedia.org/resource/Bob_Noorda","Bob Noorda"
"http://dbpedia.org/resource/Louise_Brigham","Louise Brigham"
"http://dbpedia.org/resource/Myst_III:_Exile","Myst III: Exile"
"http://dbpedia.org/resource/NS_class_airship","NS class airship"
"http://dbpedia.org/resource/Nakasuji_Station","Nakasuji Station"
"http://dbpedia.org/resource/Nate_Hinze","Nate Hinze"
"http://dbpedia.org/resource/Naval_Air_Station_South_Weymouth","Naval Air Station South Weymouth"
"http://dbpedia.org/resource/Neal_Walk","Neal Walk"
"http://dbpedia.org/resource/Cars_(painting)","Cars (painting)"
"http://dbpedia.org/resource/Philippe_Cramer","Philippe Cramer"
"http://dbpedia.org/resource/Pillows_and_Blankets","Pillows and Blankets"
"http://dbpedia.org/resource/Pino_Tovaglia","Pino Tovaglia"
"http://dbpedia.org/resource/Pirelli","Pirelli"
"http://dbpedia.org/resource/Pirelli_Calendar","Pirelli Calendar"
"http://dbpedia.org/resource/Pirelli_Stadium","Pirelli Stadium"
"http://dbpedia.org/resource/Pirelli_Tower","Pirelli Tower"
"http://dbpedia.org/resource/Plus_sizing","Plus sizing"
"http://dbpedia.org/resource/Polyvinyl_fluoride","Polyvinyl fluoride"
"http://dbpedia.org/resource/Pontiac_Silverdome","Pontiac Silverdome"
"http://dbpedia.org/resource/RCA_Dome","RCA Dome"
"http://dbpedia.org/resource/Raiders_of_the_Lost_Ark","Raiders of the Lost Ark"
"http://dbpedia.org/resource/Randy_Dorman","Randy Dorman"
"http://dbpedia.org/resource/Randy_Snow","Randy Snow"
"http://dbpedia.org/resource/Ray_Eames","Ray Eames"
"http://dbpedia.org/resource/Ray_Morstadt","Ray Morstadt"
"http://dbpedia.org/resource/Gere_Kavanaugh","Gere Kavanaugh"
"http://dbpedia.org/resource/Ghent_Altarpiece","Ghent Altarpiece"
"http://dbpedia.org/resource/Holly_Hunt","Holly Hunt"
