continents;p_age;p_gender;p_education;p_country;p_id;uri
africa;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Africa
europe;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Europe
north america;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/North_America
asia;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Asia
europe;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Europe
oceania;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Oceania
asia;0;Prefer not to say;;;68;http://dbpedia.org/resource/Asia
europe;0;Prefer not to say;;;68;http://dbpedia.org/resource/Europe
north america;0;Prefer not to say;;;68;http://dbpedia.org/resource/North_America
africa;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Africa
australia;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Australia_(continent)
europe;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Europe
europe;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Europe
north america;26;Female;Master's degree;france;70;http://dbpedia.org/resource/North_America
asia;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Asia
europe;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Europe
asia;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Asia
africa;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Africa
africa;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Africa
asia;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Asia
australia;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Australia_(continent)
europe;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Europe
north america;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/North_America
asia;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Asia
europe;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Europe
north america;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/North_America
asia;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Asia
europe;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Europe
africa;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Africa
asia;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Asia
africa;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Africa
europe;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Europe
australia;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Australia_(continent)
asia;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Asia
europe;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Europe
africa;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Africa
north america;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/North_America
south america;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/South_America
asia;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Asia
europe;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Europe
north america;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/North_America
africa;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Africa
africa;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Africa
europe;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Europe
africa;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Africa
asia;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Asia
europe;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Europe
europe;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Europe
asia;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Asia
africa;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Africa
