authors;p_age;p_gender;p_education;p_country;p_id
lindgren;27;Female;Master's degree;Germany;89
nicholassparks;27;Female;Master's degree;Germany;89
stephanking;27;Female;Master's degree;Germany;89
rafischami;25;Male;Bachelor's degree;Germany;90
astridlindgren;25;Male;Bachelor's degree;Germany;90
stefankopetzky;25;Male;Bachelor's degree;Germany;90
stephenking;25;Male;High school degree or equivalent;Germany;91
hermannhesse;25;Male;High school degree or equivalent;Germany;91
kenfollett;25;Male;High school degree or equivalent;Germany;91
jamesclear;28;Male;High school degree or equivalent;Germany;92
j.k.rowling;28;Male;High school degree or equivalent;Germany;92
salleyrooney;28;Male;High school degree or equivalent;Germany;92
roalddahl;47;Female;Bachelor's degree;England;93
janeaustin;47;Female;Bachelor's degree;England;93
jkrowling;47;Female;Bachelor's degree;England;93
jacklondon;38;Male;Bachelor's degree;Germany;94
astridlindgren;38;Male;Bachelor's degree;Germany;94
wolfganghohlbein;38;Male;Bachelor's degree;Germany;94
laozi;40;Female;Bachelor's degree;China;95
louisamayalcott;40;Female;Bachelor's degree;China;95
grimm;40;Female;Bachelor's degree;China;95
jkrowling;28;Female;High school degree or equivalent;Pakistan;96
khaledhosseini;28;Female;High school degree or equivalent;Pakistan;96
nicholassparks;28;Female;High school degree or equivalent;Pakistan;96
harukimurakami;48;Female;Master's degree;Germany;97
thomasmann;48;Female;Master's degree;Germany;97
stieglarsson;48;Female;Master's degree;Germany;97
sebastianfitzek;26;Male;Less than a high school degree;Germany;98
jpkraemer;26;Male;Less than a high school degree;Germany;98
j.k.rowling;26;Male;Less than a high school degree;Germany;98
fitzgerald;26;Female;High school degree or equivalent;Germany;99
astridlindgren;26;Female;High school degree or equivalent;Germany;99
waltermoers;26;Female;High school degree or equivalent;Germany;99
tolkien;45;Female;Bachelor's degree;USA;100
rowling;45;Female;Bachelor's degree;USA;100
kurtvonnegut;45;Female;Bachelor's degree;USA;100
harlancoben;23;Female;Master's degree;England;101
megcarter;23;Female;Master's degree;England;101
giovannafletcher;23;Female;Master's degree;England;101
charlottebrontë;26;Female;Bachelor's degree;Germany;102
benedictwells;26;Female;Bachelor's degree;Germany;102
janeausten;26;Female;Bachelor's degree;Germany;102
thomasmann;70;Female;Master's degree;Germany;103
güntergrass;70;Female;Master's degree;Germany;103
franzkafka;70;Female;Master's degree;Germany;103
anthonyrobbins;33;Female;Master's degree;Iran;104
estherhicks;33;Female;Master's degree;Iran;104
jerryhicks;33;Female;Master's degree;Iran;104
stephenking;59;Male;Doctorate (e.g. PhD);Germany;105
ernesthemingway;59;Male;Doctorate (e.g. PhD);Germany;105
astridlindgren;59;Male;Doctorate (e.g. PhD);Germany;105
williamfaulkner;47;Female;Doctorate (e.g. PhD);Germany;106
thomasmann;47;Female;Doctorate (e.g. PhD);Germany;106
selmalagerlöv;47;Female;Doctorate (e.g. PhD);Germany;106
tonimorrisson;50;Female;Doctorate (e.g. PhD);Germany;107
stanislawlem;50;Female;Doctorate (e.g. PhD);Germany;107
richardscarry;50;Female;Doctorate (e.g. PhD);Germany;107
lendeighton;45;Female;Doctorate (e.g. PhD);Germany;108
ernesthemingway;45;Female;Doctorate (e.g. PhD);Germany;108
mariovargasllosa;45;Female;Doctorate (e.g. PhD);Germany;108
