dax_companies;p_age;p_gender;p_education;p_country;p_id
deutschetelekom;47;Female;Bachelor's degree;England;93
linde;38;Male;Bachelor's degree;Germany;94
bayer;38;Male;Bachelor's degree;Germany;94
heidelbergcement;38;Male;Bachelor's degree;Germany;94
sap;40;Female;Bachelor's degree;China;95
vw;40;Female;Bachelor's degree;China;95
basf;40;Female;Bachelor's degree;China;95
basf;28;Female;High school degree or equivalent;Pakistan;96
sap;28;Female;High school degree or equivalent;Pakistan;96
covestro;28;Female;High school degree or equivalent;Pakistan;96
sap;48;Female;Master's degree;Germany;97
basf;48;Female;Master's degree;Germany;97
daimler;48;Female;Master's degree;Germany;97
adidas;26;Male;Less than a high school degree;Germany;98
allianz;26;Male;Less than a high school degree;Germany;98
bmw;26;Male;Less than a high school degree;Germany;98
meta;26;Female;High school degree or equivalent;Germany;99
teslar;26;Female;High school degree or equivalent;Germany;99
apple;26;Female;High school degree or equivalent;Germany;99
adidas;45;Female;Bachelor's degree;USA;100
bayer;45;Female;Bachelor's degree;USA;100
bmw;45;Female;Bachelor's degree;USA;100
nan;23;Female;Master's degree;England;101
nan;26;Female;Bachelor's degree;Germany;102
telekom;70;Female;Master's degree;Germany;103
basf;70;Female;Master's degree;Germany;103
daimler;70;Female;Master's degree;Germany;103
airbus;33;Female;Master's degree;Iran;104
adidas;33;Female;Master's degree;Iran;104
allianz;33;Female;Master's degree;Iran;104
siemens;59;Male;Doctorate (e.g. PhD);Germany;105
deutschebank;59;Male;Doctorate (e.g. PhD);Germany;105
siemens;47;Female;Doctorate (e.g. PhD);Germany;106
bosch;47;Female;Doctorate (e.g. PhD);Germany;106
deutschebank;47;Female;Doctorate (e.g. PhD);Germany;106
siemens;50;Female;Doctorate (e.g. PhD);Germany;107
volkswagen;50;Female;Doctorate (e.g. PhD);Germany;107
bmw;50;Female;Doctorate (e.g. PhD);Germany;107
mercedes;45;Female;Doctorate (e.g. PhD);Germany;108
bosch;45;Female;Doctorate (e.g. PhD);Germany;108
miele;45;Female;Doctorate (e.g. PhD);Germany;108
