us_tech_companies;p_age;p_gender;p_education;p_country;p_id
apple;25;Male;High school degree or equivalent;Germany;91
alphabet;25;Male;High school degree or equivalent;Germany;91
meta;28;Male;High school degree or equivalent;Germany;92
apple;28;Male;High school degree or equivalent;Germany;92
alphabet;28;Male;High school degree or equivalent;Germany;92
microsoft;47;Female;Bachelor's degree;England;93
apple;47;Female;Bachelor's degree;England;93
oracle;47;Female;Bachelor's degree;England;93
alphabet;38;Male;Bachelor's degree;Germany;94
apple;38;Male;Bachelor's degree;Germany;94
pinterest;38;Male;Bachelor's degree;Germany;94
hp;40;Female;Bachelor's degree;China;95
oracle;40;Female;Bachelor's degree;China;95
dell;40;Female;Bachelor's degree;China;95
apple;28;Female;High school degree or equivalent;Pakistan;96
microsoft;28;Female;High school degree or equivalent;Pakistan;96
amazon;28;Female;High school degree or equivalent;Pakistan;96
facebook;48;Female;Master's degree;Germany;97
google;48;Female;Master's degree;Germany;97
amazon;48;Female;Master's degree;Germany;97
apple;26;Male;Less than a high school degree;Germany;98
microsoft;26;Male;Less than a high school degree;Germany;98
google;26;Male;Less than a high school degree;Germany;98
meta;26;Female;High school degree or equivalent;Germany;99
apple;26;Female;High school degree or equivalent;Germany;99
microsoft;26;Female;High school degree or equivalent;Germany;99
microsoft;45;Female;Bachelor's degree;USA;100
verizon;45;Female;Bachelor's degree;USA;100
netflix;45;Female;Bachelor's degree;USA;100
apple;23;Female;Master's degree;England;101
amazon;23;Female;Master's degree;England;101
microsoft;23;Female;Master's degree;England;101
apple;26;Female;Bachelor's degree;Germany;102
microsoft;26;Female;Bachelor's degree;Germany;102
amazon;26;Female;Bachelor's degree;Germany;102
apple;70;Female;Master's degree;Germany;103
microsoft;70;Female;Master's degree;Germany;103
netflix;70;Female;Master's degree;Germany;103
ibm;33;Female;Master's degree;Iran;104
google;33;Female;Master's degree;Iran;104
microsoft;33;Female;Master's degree;Iran;104
apple;59;Male;Doctorate (e.g. PhD);Germany;105
google;59;Male;Doctorate (e.g. PhD);Germany;105
tesla;59;Male;Doctorate (e.g. PhD);Germany;105
google;47;Female;Doctorate (e.g. PhD);Germany;106
apple;47;Female;Doctorate (e.g. PhD);Germany;106
microsoft;47;Female;Doctorate (e.g. PhD);Germany;106
apple;50;Female;Doctorate (e.g. PhD);Germany;107
microsoft;50;Female;Doctorate (e.g. PhD);Germany;107
facebook;50;Female;Doctorate (e.g. PhD);Germany;107
apple;45;Female;Doctorate (e.g. PhD);Germany;108
google;45;Female;Doctorate (e.g. PhD);Germany;108
hewlettpackard;45;Female;Doctorate (e.g. PhD);Germany;108
