music_genres;p_age;p_gender;p_education;p_country;p_id
hiphop;59;Male;Doctorate (e.g. PhD);Germany;105
rock;47;Female;Doctorate (e.g. PhD);Germany;106
hiphop;47;Female;Doctorate (e.g. PhD);Germany;106
classic;47;Female;Doctorate (e.g. PhD);Germany;106
pop;50;Female;Doctorate (e.g. PhD);Germany;107
jazz;50;Female;Doctorate (e.g. PhD);Germany;107
classic;50;Female;Doctorate (e.g. PhD);Germany;107
jazz;45;Female;Doctorate (e.g. PhD);Germany;108
swing;45;Female;Doctorate (e.g. PhD);Germany;108
opera;45;Female;Doctorate (e.g. PhD);Germany;108
