actors;p_age;p_gender;p_education;p_country;p_id
juliaroberts;48;Female;Master's degree;Germany;97
robertdowneyjr.;26;Male;Less than a high school degree;Germany;98
jenniferaniston;26;Male;Less than a high school degree;Germany;98
kevinjames;26;Male;Less than a high school degree;Germany;98
chrisevans;26;Female;High school degree or equivalent;Germany;99
sebastianstan;26;Female;High school degree or equivalent;Germany;99
jensenackles;26;Female;High school degree or equivalent;Germany;99
chrispratt;45;Female;Bachelor's degree;USA;100
bradpitt;45;Female;Bachelor's degree;USA;100
mattdamon;45;Female;Bachelor's degree;USA;100
michellekeegan;23;Female;Master's degree;England;101
davidwalliams;23;Female;Master's degree;England;101
jenniferaniston;26;Female;Bachelor's degree;Germany;102
bradpitt;26;Female;Bachelor's degree;Germany;102
angelinajolie;26;Female;Bachelor's degree;Germany;102
danielcraig;70;Female;Master's degree;Germany;103
juliettebinoche;70;Female;Master's degree;Germany;103
juliaroberts;70;Female;Master's degree;Germany;103
bradpitt;33;Female;Master's degree;Iran;104
lilyjames;33;Female;Master's degree;Iran;104
pauldano;33;Female;Master's degree;Iran;104
richardgere;59;Male;Doctorate (e.g. PhD);Germany;105
juliaroberts;59;Male;Doctorate (e.g. PhD);Germany;105
brucewillis;59;Male;Doctorate (e.g. PhD);Germany;105
maxschreck;47;Female;Doctorate (e.g. PhD);Germany;106
peterlorre;47;Female;Doctorate (e.g. PhD);Germany;106
orsonwelles;47;Female;Doctorate (e.g. PhD);Germany;106
kevinbacon;50;Female;Doctorate (e.g. PhD);Germany;107
keanureeves;50;Female;Doctorate (e.g. PhD);Germany;107
dustinhoffman;50;Female;Doctorate (e.g. PhD);Germany;107
hughgrant;45;Female;Doctorate (e.g. PhD);Germany;108
jacknicholson;45;Female;Doctorate (e.g. PhD);Germany;108
marlenedietrich;45;Female;Doctorate (e.g. PhD);Germany;108
