music_genres;p_age;p_gender;p_education;p_country;p_id;uri
classic;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Classical_music
rock;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Rock_music
jazz;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Jazz
rock;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Rock_music
pop;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Pop_music
classic;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Classical_music
pop;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Pop_music
punk;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Punk_rock
rap;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Hip_hop_music
techno;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Techno
hiphop;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Hip_hop_music
klassik;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Echo_Klassik
rock;25;Male;Bachelor's degree;Germany;53;http://dbpedia.org/resource/Rock_music
classical;25;Male;Bachelor's degree;Germany;53;http://dbpedia.org/resource/Classical_music
techno;25;Male;Bachelor's degree;Germany;53;http://dbpedia.org/resource/Techno
pop;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Pop_music
rock;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Rock_music
musicals;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Musical_theatre
rock;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Rock_music
techno;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Techno
pop;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Pop_music
rap;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Hip_hop_music
pop;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Pop_music
techno;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Techno
rock;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Rock_music
pop;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Pop_music
jazz;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Jazz
rock;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Rock_music
pop;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Pop_music
rap;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Hip_hop_music
rock;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Rock_music
classical;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Classical_music
pop;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Pop_music
pop;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Pop_music
techno;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Techno
rock;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Rock_music
heavy metal;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Heavy_metal_music
punk rock;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Punk_rock
blues;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Blues
pop;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Pop_music
rock;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Rock_music
techno;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Techno
hiphop;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Hip_hop_music
rock;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Rock_music
pop;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Pop_music
rap;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Hip_hop_music
deutsch rap;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/German_hip_hop
american rap;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Hip_hop_music
rap;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Hip_hop_music
pop;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Pop_music
jazz;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Jazz
hip hop;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Hip_hop_music
classic;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Classical_music
rock;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Rock_music
rock;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Rock_music
pop;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Pop_music
hiphop;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Hip_hop_music
classic;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Classical_music
rock;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Rock_music
heavy metal;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Heavy_metal_music
