nineties_movies;p_age;p_gender;p_education;p_country;p_id;uri
flubber;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Flubber
space jam;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Space_Jam
back to the future;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Back_to_the_Future
terminator 3;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Terminator_3:_Rise_of_the_Machines
nan;27;Female;Master's degree;Germany;76;NaN
se7en;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Seven_(1995_film)
twister;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Payne_Knight_Twister
the mummy;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/The_Mummy_(1999_film)
fast and the furious;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Fast_&_Furious
matrix;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/The_Matrix
fight club;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Fight_Club
pretty woman;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Pretty_Woman
matrix;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/The_Matrix
nan;25;Male;Master's degree;Germany;80;NaN
pulp fiction;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Pulp_Fiction
home alone;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Home_Alone
seven;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Seven_(1995_film)
star wars;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Star_Wars:_Episode_I_–_The_Phantom_Menace
titanic;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Titanic_(1997_film)
matrix;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/The_Matrix
jurrasic park;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Jurassic_Park_(film)
back to the future;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Back_to_the_Future
titanic;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Titanic_(1997_film)
batman;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Batman
pretty woman;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Pretty_Woman
free willy;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Free_Willy
nan;25;Female;Master's degree;Germany;85;NaN
matrix;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/The_Matrix
forrest gump;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Forrest_Gump
home alone;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Home_Alone
pretty woman;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Pretty_Woman
ghost;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Ghost_(1990_film)
es;24;Female;High school degree or equivalent;Germany;87;NaN
home alone;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Home_Alone
star wars;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Star_Wars:_Episode_I_–_The_Phantom_Menace
harry potter;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Harry_Potter
batman;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Batman
spiderman;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/The_Spectacular_Spider-Man
