mountains;p_age;p_gender;p_education;p_country;p_id;uri
feldberg (black forest);28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Feldberg_(Black_Forest)
mount everest;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Mount_Everest
zugspitze;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Zugspitze
uluru;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Uluru
k2;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/K2
machu picchu;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Machu_Picchu
k2;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/K2
matterhorn;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Matterhorn
mont blanc;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Mont_Blanc
mount everest;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Mount_Everest
mont blanc;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Mont_Blanc
zugspitze;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Zugspitze
mount everest;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Mount_Everest
mount kilimanjaro;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Mount_Kilimanjaro
mount everest;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Mount_Everest
zugspitze;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Zugspitze
mont blanc;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Mont_Blanc
mount everest;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Mount_Everest
mount fuji;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Mount_Fuji
mount elbrus;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Mount_Elbrus
mont blanc;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Mont_Blanc
zugspitze;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Zugspitze
matterhorn;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Matterhorn
zugspitze;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Zugspitze
mount everest;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Mount_Everest
matterhorn;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Matterhorn
zugspitze;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Zugspitze
mount everest;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Mount_Everest
watzmann;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Watzmann
zugspitze;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Zugspitze
weissfluh;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Weissfluh
mount fuji;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Mount_Fuji
mont blanc;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Mont_Blanc
mount everest;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Mount_Everest
zugspitze;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Zugspitze
mount everest;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Mount_Everest
montblanc;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Mont_Blanc
himalayas;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Himalayas
alps;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Alps
canadian rockies;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Canadian_Rockies
zugspitze;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Zugspitze
k2;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/K2
matterhorn;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Matterhorn
mount everest;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Mount_Everest
zugspitze;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Zugspitze
königstuhl;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Königstuhl
k2;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/K2
matterhorn;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Matterhorn
zugspitze;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Zugspitze
zugspitze;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Zugspitze
königstuhl;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Königstuhl
puy de dôme;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Puy-de-Dôme
mount kilimanjaro;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Mount_Kilimanjaro
k2;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/K2
eiger;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Eiger
mont blanc;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Mont_Blanc
mount everest;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Mount_Everest
mount kilimanjaro;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Mount_Kilimanjaro
mount everest;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Mount_Everest
zugspitze;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Zugspitze
mount kilimanjaro;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Mount_Kilimanjaro
mount everest;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Mount_Everest
zugspite;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Zugspitze
zugspitze;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Zugspitze
mount kilimanjaro;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Mount_Kilimanjaro
mount everest;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Mount_Everest
uluru;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Uluru
zugspitze;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Zugspitze
mount everest;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Mount_Everest
mont blanc;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Mont_Blanc
nanga parbat;0;Prefer not to say;;;68;http://dbpedia.org/resource/Nanga_Parbat
k2;0;Prefer not to say;;;68;http://dbpedia.org/resource/K2
zugspitze;0;Prefer not to say;;;68;http://dbpedia.org/resource/Zugspitze
alps;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Alps
vosges;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Vosges
pyrenees;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Pyrenees
mont blanc;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Mont_Blanc
mount kilimanjaro;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Mount_Kilimanjaro
mount everest;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Mount_Everest
zugspitze;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Zugspitze
mont blanc;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Mont_Blanc
mount everest;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Mount_Everest
mount everst;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Mount_Everest
k2;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/K2
zugspitze;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Zugspitze
zugspitze;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Zugspitze
matterhorn;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Matterhorn
mount everest;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Mount_Everest
mount everest;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Mount_Everest
himalayas;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Himalayas
zugspitze;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Zugspitze
zugspitze;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Zugspitze
mont blanc;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Mont_Blanc
matterhorn;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Matterhorn
mount everest;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Mount_Everest
mount blanc;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Mont_Blanc
zugspitze;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Zugspitze
zugspitze;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Zugspitze
feldberg (black forest);51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Feldberg_(Black_Forest)
eiger;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Eiger
mount blanc;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Mont_Blanc
mount everest;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Mount_Everest
zugspitze;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Zugspitze
mount kilimanjaro;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Mount_Kilimanjaro
kreuzberg;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Kreuzberg
mount everest;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Mount_Everest
mount everest;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Mount_Everest
zugspitze;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Zugspitze
mont blanc;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Mont_Blanc
mount everest;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Mount_Everest
mount kilimanjaro;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Mount_Kilimanjaro
k2;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/K2
mount kilimanjaro;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Mount_Kilimanjaro
mount everest;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Mount_Everest
zugspitze;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Zugspitze
mount everest;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Mount_Everest
zugspitze;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Zugspitze
k2;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/K2
zugspitze;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Zugspitze
mount everest;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Mount_Everest
ural mountains;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Ural_Mountains
zugspitze;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Zugspitze
dolomites;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Dolomites
alps;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Alps
carpathian mountains;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Carpathian_Mountains
zugspitze;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Zugspitze
matterhorn;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Matterhorn
mount everest;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Mount_Everest
mount everest;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Mount_Everest
zugspitze;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Zugspitze
katzenbuckel;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Katzenbuckel
mount everest;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Mount_Everest
mount blanc;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Mont_Blanc
matterhorn;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Matterhorn
nanga parbat;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Nanga_Parbat
k2;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/K2
feldberg (black forest);25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Feldberg_(Black_Forest)
zugspitze;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Zugspitze
matterhorn;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Matterhorn
k2;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/K2
tischberg;28;Male;High school degree or equivalent;germany;92;NaN
zugspitze;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Zugspitze
mount kilimanjaro;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Mount_Kilimanjaro
mount everest;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Mount_Everest
matterhorn;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Matterhorn
ben nevis;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Ben_Nevis
zugspitze;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Zugspitze
mount kilimanjaro;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Mount_Kilimanjaro
mount everest;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Mount_Everest
himalayas;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Himalayas
alps;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Alps
mount kilimanjaro;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Mount_Kilimanjaro
k2;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/K2
mount everest;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Mount_Everest
nanga parbat;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Nanga_Parbat
mount everest;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Mount_Everest
k2;48;Female;Diplom;germany;97;http://dbpedia.org/resource/K2
montb lanc;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Mont_Blanc
k2;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/K2
grossglockner;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Grossglockner
zugspitze;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Zugspitze
mount everest;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Mount_Everest
zugspitze;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Zugspitze
stetind;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Stetind
alps;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Alps
canadian rockies;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Canadian_Rockies
pyrenees;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Pyrenees
val d Isere;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Val-d'Isère
mount etna;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Mount_Etna
zugspitze;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Zugspitze
watzmann;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Watzmann
feldberg (black forest);26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Feldberg_(Black_Forest)
matterhorn;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Matterhorn
grossglockner;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Grossglockner
zugspitze;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Zugspitze
mount everest;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Mount_Everest
