cities;p_age;p_gender;p_education;p_country;p_id;uri
kyiv;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Kyiv
berlin;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Berlin
frankfurt;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Frankfurt
mannheim;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Mannheim
berlin;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Berlin
athens;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Athens
moscow;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Moscow
kyiv;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Kyiv
beijing;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Beijing
paris;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Paris
rome;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Rome
london;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/City_of_London
mannheim;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Mannheim
heidelberg;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Heidelberg
hamburg;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Hamburg
heidelberg;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Heidelberg
mannheim;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Mannheim
stuttgart;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Stuttgart
berlin;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Berlin
new york;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/New_York_City
london;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/City_of_London
cologne;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Cologne
düsseldorf;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Düsseldorf
frankfurt;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Frankfurt
heidelberg;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Heidelberg
berlin;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Berlin
madrid;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Madrid
peking;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Beijing
moscow;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Moscow
oslo;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Oslo
mannheim;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Mannheim
heidelberg;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Heidelberg
weinheim;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Weinheim
new york;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/New_York_City
amsterdam;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Amsterdam
berlin;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Berlin
berlin;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Berlin
hanover;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Hanover
heidelberg;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Heidelberg
berlin;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Berlin
tokyo;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Tokyo
london;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/City_of_London
monchengladbach;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/page/Mönchengladbach
hamburg;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Hamburg
munich;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Munich
heidelberg;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Heidelberg
glue;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Leimen
mannheim;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Mannheim
new york;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/New_York_City
london;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/City_of_London
barcelona;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Barcelona
munich;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Munich
berlin;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Berlin
hamburg;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Hamburg
berlin;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Berlin
paris;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Paris
madrid;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Madrid
berlin;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Berlin
rome;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Rome
sydney;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Sydney
london;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/City_of_London
seville;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Seville
rome;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Rome
london;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/City_of_London
berlin;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Berlin
