fast_food;p_age;p_gender;p_education;p_country;p_id;uri
hamburger;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Hamburger
kebab;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Kebab
hamburger;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Hamburger
french fries;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/French_fries
tacos;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Taco
french fries;34;Female;Master's degree;france;54;http://dbpedia.org/resource/French_fries
hamburger;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Hamburger
hot dog;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Hot_dog
french fries;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/French_fries
hamburger;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Hamburger
chick nuggets;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Chicken_nugget
hamburger;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Hamburger
kebab;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Kebab
ketwurst;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Ketwurst
currywurst;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Currywurst
hamburger;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Hamburger
taco;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Taco
asian;31;Male;Master's degree;germany;58;NaN
hamburger;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Hamburger
french fries;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/French_fries
pizza;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Pizza
hamburger;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Hamburger
hot dog;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Hot_dog
french fries;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/French_fries
pizza;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Pizza
hamburger;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Hamburger
