birds;p_age;p_gender;p_education;p_country;p_id;uri
duck;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Duck
blackbird;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Common_blackbird
robin;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Robin
blue tit;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Eurasian_blue_tit
parrot;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Parrot
nightingale;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Common_nightingale
crow;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Crow
sparrow;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Sparrow
crane;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Crane_(bird)
eagle;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Eagle
eagle;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Eagle
mockingbird;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Mockingbird
raven;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Raven
sparrow;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Sparrow
woodpecker;23;Male;High school degree or equivalent;germany;59;
dove;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Columbidae
eagle;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Eagle
parrot;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Parrot
finch;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Finch
eagle;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Eagle
falcon;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Falcon
raven;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Raven
sparrow;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Sparrow
eagle;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Eagle
crow;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Crow
nightingale;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Common_nightingale
eagle;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Eagle
parrot;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Parrot
;17;Male;Less than a high school degree;germany;64;
pileated woodpecker;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Pileated_woodpecker
blackbird;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Common_blackbird
