asian_countries;p_age;p_gender;p_education;p_country;p_id;uri
japan;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Japan
china;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/China
thailand;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Thailand
china;0;Prefer not to say;;;68;http://dbpedia.org/resource/China
taiwan;0;Prefer not to say;;;68;http://dbpedia.org/resource/Taiwan
hong kong;0;Prefer not to say;;;68;http://dbpedia.org/resource/Hong_Kong
china;24;Female;Master's degree;france;69;http://dbpedia.org/resource/China
japan;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Japan
indonesia;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Indonesia
indonesia;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Indonesia
singapore;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Singapore
china;26;Female;Master's degree;france;70;http://dbpedia.org/resource/China
japan;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Japan
south korea;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/South_Korea
china;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/China
india;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/India
china;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/China
vietnam;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Vietnam
japan;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Japan
indonesia;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Indonesia
taiwan;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Taiwan
turgay;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Turgay_Avcı
china;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/China
japan;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Japan
vietnam;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Vietnam
japan;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Japan
indonesia;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Indonesia
japan;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Japan
china;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/China
