books;p_age;p_gender;p_education;p_country;p_id;uri
krieg und frieden;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/War_and_Peace
papillon;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Papillon_(book)
100 jahre einsamkeit;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/One_Hundred_Years_of_Solitude
die bibel;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Bible
harry potter and the philosophers stone;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Harry_Potter_and_the_Philosopher's_Stone
lord of the rings;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/The_Lord_of_the_Rings
sapiens: a brief history of humankind;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Sapiens:_A_Brief_History_of_Humankind
achtsam morden;31;Male;Bachelor's degree;Germany;40;NaN
harry potter;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Harry_Potter
herr der ringe;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/The_Lord_of_the_Rings
harry potter;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Harry_Potter
twilight;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Twilight_(novel_series)
da vinci code;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/The_Da_Vinci_Code
die verlorenen;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/The_Tragedy_of_a_Lost_Soul
das kunstseidene maedchen;28;Female;Bachelor's degree;Germany;42;NaN
zivilcourage;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Profiles_in_Courage
harry potter;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Harry_Potter
it;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/It_(novel)
the lord of the rings;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/The_Lord_of_the_Rings
outlander;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Outlander
it;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/It_(novel)
harry potter;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Harry_Potter
little life;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/A_Little_Life
narziss and goldmund;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Narcissus_and_Goldmund
normal people;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/The_War_on_Normal_People
the hobbit;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/The_Hobbit
krabat;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Krabat_–_The_Sorcerer's_Apprentice
romeo and juliet;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Romeo_and_Juliet
die geschichte der bienen;21;Female;High school degree or equivalent;Germany;47;NaN
harry potter;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Harry_Potter
cafe am rande der welt;21;Female;High school degree or equivalent;Germany;47;NaN
nan;23;Female;Bachelor's degree;Germany;48;NaN
the lord of the rings;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/The_Lord_of_the_Rings
da vinci code;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/The_Da_Vinci_Code
time travelers wife;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/The_Time_Traveler's_Wife
1984;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Nineteen_Eighty-Four
pride and prejudice;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Pride_and_Prejudice
the girl with the dragon tattoo;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/The_Girl_with_the_Dragon_Tattoo
pride and prejudice;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Pride_and_Prejudice
emma;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Emma_(novel)
five feet apart;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Five_Feet_Apart
krieg und frieden;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/War_and_Peace
how to kill a mockingbird;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/To_Kill_a_Mockingbird
stolz und vorurteil;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Pride_and_Prejudice
nan;25;Male;Bachelor's degree;Germany;53;NaN
piranesi;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Piranesi_(novel)
count of monte christo;34;Female;Master's degree;France;54;http://dbpedia.org/resource/The_Count_of_Monte_Cristo
were are all besides ourselves;34;Female;Master's degree;France;54;http://dbpedia.org/resource/We_Are_All_Completely_Beside_Ourselves
das magische baumhaus;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Magic_Tree_House
bibel;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Bible
der ursprung der welt;20;Female;High school degree or equivalent;Germany;55;NaN
bel ami;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Bel-Ami
notre dame de paris;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Notre-Dame_de_Paris
a la recherche du temps perdu;26;Female;Master's degree;France;56;http://dbpedia.org/resource/In_Search_of_Lost_Time
principia mathematica;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Principia_Mathematica
nett sein ist auch keine lösung;29;Prefer not to say;Master's degree;Germany;57;NaN
mein kampf;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Mein_Kampf
12 rules for life;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/12_Rules_for_Life
crime and punishment;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Capital_punishment
harry potter and the philosophers stone;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Harry_Potter_and_the_Philosopher's_Stone
the witcher;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/The_Witcher
lila lila;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Lila,_Lila
unverschwunden;23;Male;High school degree or equivalent;Germany;59;NaN
the cafe on the edge of the world;21;Female;High school degree or equivalent;Germany;60;NaN
becoming;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Becoming_(book)
the child in you;21;Female;High school degree or equivalent;Germany;60;NaN
the pillars of earth;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/The_Pillars_of_the_Earth
