vegetables;p_age;p_gender;p_education;p_country;p_id;uri
bell pepper;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Bell_pepper
cucumber;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Cucumber
salad;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Lettuce
broccoli;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Broccoli
potato;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Potato
eggplant;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Eggplant
tomato;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Tomato
cucumber;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Cucumber
carrot;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Carrot
cucumber;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Cucumber
tomato;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Tomato
paprika;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Paprika
tomato;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Tomato
cucumber;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Cucumber
bell pepper;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Bell_pepper
cauliflower;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Cauliflower
asparagus;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Asparagus
carrot;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Carrot
tomato;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Tomato
broccoli;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Broccoli
paprika;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Paprika
cucumber;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Cucumber
paprika;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Paprika
carrot;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Carrot
tomato;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Tomato
paprika;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Paprika
zucchini;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Zucchini
avocado;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Avocado
broccoli;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Broccoli
carrot;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Carrot
potato;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Potato
bean;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Bean
lentil;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Lentil
cucumber;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Cucumber
broccoli;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Broccoli
carrot;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Carrot
cucumber;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Cucumber
mushroom;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Mushroom
avocado;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Avocado
tomato;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Tomato
cucumber;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Cucumber
pumpkin;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Pumpkin
tomato;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Tomato
carrot;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Carrot
paprika;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Paprika
cucumber;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Cucumber
tomato;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Tomato
paprika;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Paprika
potato;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Potato
paprika;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Paprika
onion;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Onion
