us_presidents;p_age;p_gender;p_education;p_country;p_id;uri
trump;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Donald_Trump
biden;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Joe_Biden
abraham lincoln;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Abraham_Lincoln
nixxon;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Richard_Nixon
obama;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Barack_Obama
barack obama;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Barack_Obama
joe biden;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Joe_Biden
george w bush;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/George_W._Bush
biden;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Joe_Biden
trump;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Donald_Trump
obama;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Barack_Obama
reagan;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Ronald_Reagan
g.h. bush;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/George_H._W._Bush
g.w.bush;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/George_W._Bush
obama;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Barack_Obama
clinton;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Bill_Clinton
trump;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Donald_Trump
obama;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Barack_Obama
trump;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Donald_Trump
bush;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/George_W._Bush
barack obama;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Barack_Obama
