us_companies;p_age;p_gender;p_education;p_country;p_id;uri
coca cola;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/The_Coca-Cola_Company
trader’s joe;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Trader_Joe's
walmart;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Walmart
polo ralph lauren;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Ralph_Lauren_Corporation
apple;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Apple_Inc.
microsoft;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Microsoft
nike;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Nike,_Inc.
john deere;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/John_Deere
mustang;50;Female;High school degree or equivalent;Germany;44;NaN
hilfigher;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Tommy_Hilfiger
herschies;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/The_Hershey_Company
coca cola;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/The_Coca-Cola_Company
p&g;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Procter_&_Gamble
ibm;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/IBM
ford;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Ford_Motor_Company
jeep;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Jeep
ben and jerry;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Ben_&_Jerry's
ford;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Ford_Motor_Company
abercrombie&fitch;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Abercrombie_&_Fitch
amazon;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Amazon_(company)
apple;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Apple_Inc.
microsoft;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Microsoft
apple;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Apple_Inc.
google;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Google
ibm;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/IBM
alphabet;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Alphabet_Inc.
amazon;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Amazon_(company)
microsoft;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Microsoft
starbucks;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Starbucks
apple;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Apple_Inc.
walt disney company;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/The_Walt_Disney_Company
apple;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Apple_Inc.
spotify;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Spotify
