uri;european_capital_cities;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Copenhagen;copenhagen;20;Female;High school degree or equivalent;Germany;55
http://dbpedia.org/resource/Berlin;berlin;20;Female;High school degree or equivalent;Germany;55
http://dbpedia.org/resource/Vienna;vienna;20;Female;High school degree or equivalent;Germany;55
http://dbpedia.org/resource/Paris;paris;26;Female;Master's degree;France;56
http://dbpedia.org/resource/Berlin;berlin;26;Female;Master's degree;France;56
http://dbpedia.org/resource/London;london;26;Female;Master's degree;France;56
http://dbpedia.org/resource/Kyiv;kiev;29;Prefer not to say;Master's degree;Germany;57
http://dbpedia.org/resource/Moscow;moscow;29;Prefer not to say;Master's degree;Germany;57
http://dbpedia.org/resource/Minsk;minsk;29;Prefer not to say;Master's degree;Germany;57
http://dbpedia.org/resource/Berlin;berlin;31;Male;Master's degree;Germany;58
http://dbpedia.org/resource/London;london;31;Male;Master's degree;Germany;58
http://dbpedia.org/resource/Paris;paris;31;Male;Master's degree;Germany;58
http://dbpedia.org/resource/Berlin;berlin;23;Male;High school degree or equivalent;Germany;59
http://dbpedia.org/resource/Paris;paris;23;Male;High school degree or equivalent;Germany;59
http://dbpedia.org/resource/London;london;23;Male;High school degree or equivalent;Germany;59
http://dbpedia.org/resource/Berlin;berlin;21;Female;High school degree or equivalent;Germany;60
http://dbpedia.org/resource/Paris;paris;21;Female;High school degree or equivalent;Germany;60
http://dbpedia.org/resource/Rome;rome;21;Female;High school degree or equivalent;Germany;60
http://dbpedia.org/resource/Budapest;budapest;54;Male;High school degree or equivalent;Germany;61
http://dbpedia.org/resource/Oslo;oslo;54;Male;High school degree or equivalent;Germany;61
http://dbpedia.org/resource/London;london;54;Male;High school degree or equivalent;Germany;61
http://dbpedia.org/resource/Paris;paris;30;Female;Master's degree;France;62
http://dbpedia.org/resource/London;london;30;Female;Master's degree;France;62
http://dbpedia.org/resource/Rome;rome;30;Female;Master's degree;France;62
http://dbpedia.org/resource/Berlin;berlin;24;Male;Bachelor's degree;Germany;63
http://dbpedia.org/resource/Rome;rome;24;Male;Bachelor's degree;Germany;63
http://dbpedia.org/resource/Paris;paris;24;Male;Bachelor's degree;Germany;63
http://dbpedia.org/resource/Berlin;berlin;17;Male;Less than a high school degree;Germany;64
http://dbpedia.org/resource/Stockholm;stockholm;17;Male;Less than a high school degree;Germany;64
http://dbpedia.org/resource/Paris;paris;17;Male;Less than a high school degree;Germany;64
http://dbpedia.org/resource/Berlin;berlin;25;Female;High school degree or equivalent;Germany;65
http://dbpedia.org/resource/Copenhagen;copenhagen;25;Female;High school degree or equivalent;Germany;65
http://dbpedia.org/resource/Helsinki;helsinki;25;Female;High school degree or equivalent;Germany;65
http://dbpedia.org/resource/Paris;paris;16;Male;Less than a high school degree;Germany;66
http://dbpedia.org/resource/London;london;16;Male;Less than a high school degree;Germany;66
http://dbpedia.org/resource/Berlin;berlin;16;Male;Less than a high school degree;Germany;66
http://dbpedia.org/resource/Berlin;berlin;21;Male;High school degree or equivalent;Germany;67
http://dbpedia.org/resource/Paris;paris;21;Male;High school degree or equivalent;Germany;67
http://dbpedia.org/resource/Vienna;vienna;21;Male;High school degree or equivalent;Germany;67
http://dbpedia.org/resource/Paris;paris;0;Prefer not to say;NaN;NaN;68
http://dbpedia.org/resource/Berlin;berlin;0;Prefer not to say;NaN;NaN;68
http://dbpedia.org/resource/Vienna;vienna;0;Prefer not to say;NaN;NaN;68
http://dbpedia.org/resource/Paris;paris;24;Female;Master's degree;France;69
http://dbpedia.org/resource/London;london;24;Female;Master's degree;France;69
http://dbpedia.org/resource/Madrid;madrid;24;Female;Master's degree;France;69
http://dbpedia.org/resource/Paris;paris;26;Female;Master's degree;France;70
http://dbpedia.org/resource/London;london;26;Female;Master's degree;France;70
http://dbpedia.org/resource/Berlin;berlin;26;Female;Master's degree;France;70
http://dbpedia.org/resource/Berlin;berlin;34;Female;Master's degree;Germany;71
http://dbpedia.org/resource/London;london;34;Female;Master's degree;Germany;71
http://dbpedia.org/resource/Paris;paris;34;Female;Master's degree;Germany;71
http://dbpedia.org/resource/Berlin;berlin;54;Male;Less than a high school degree;Germany;72
http://dbpedia.org/resource/Rome;rome;54;Male;Less than a high school degree;Germany;72
http://dbpedia.org/resource/Paris;paris;54;Male;Less than a high school degree;Germany;72
http://dbpedia.org/resource/Berlin;berlin;23;Male;Bachelor's degree;Germany;73
http://dbpedia.org/resource/Paris;paris;23;Male;Bachelor's degree;Germany;73
http://dbpedia.org/resource/Madrid;madrid;23;Male;Bachelor's degree;Germany;73
http://dbpedia.org/resource/Berlin;berlin;27;Male;Master's degree;Germany;74
http://dbpedia.org/resource/Athens;athens;27;Male;Master's degree;Germany;74
http://dbpedia.org/resource/Paris;paris;27;Male;Master's degree;Germany;74
http://dbpedia.org/resource/Rome;rome;25;Male;Bachelor's degree;Germany;75
http://dbpedia.org/resource/Berlin;berlin;25;Male;Bachelor's degree;Germany;75
http://dbpedia.org/resource/London;london;25;Male;Bachelor's degree;Germany;75
