uri;european_countries;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/United_Kingdom;united kingdom;30;Female;Master's degree;france;62
http://dbpedia.org/resource/Italy;italy;30;Female;Master's degree;france;62
http://dbpedia.org/resource/Italy;italy;24;Male;Bachelor's degree;germany;63
http://dbpedia.org/resource/France;france;24;Male;Bachelor's degree;germany;63
http://dbpedia.org/resource/Poland;poland;24;Male;Bachelor's degree;germany;63
http://dbpedia.org/resource/Germany;germany;17;Male;Less than a high school degree;germany;64
http://dbpedia.org/resource/France;france;17;Male;Less than a high school degree;germany;64
http://dbpedia.org/resource/Sweden;sweden;17;Male;Less than a high school degree;germany;64
http://dbpedia.org/resource/Germany;germany;25;Female;High school degree or equivalent;germany;65
http://dbpedia.org/resource/Netherlands;netherlands;25;Female;High school degree or equivalent;germany;65
http://dbpedia.org/resource/Belgium;belgium;25;Female;High school degree or equivalent;germany;65
http://dbpedia.org/resource/Germany;germany;16;Male;Less than a high school degree;germany;66
http://dbpedia.org/resource/France;france;16;Male;Less than a high school degree;germany;66
http://dbpedia.org/resource/Spain;spain;16;Male;Less than a high school degree;germany;66
http://dbpedia.org/resource/Germany;germany;21;Male;High school degree or equivalent;germany;67
http://dbpedia.org/resource/France;france;21;Male;High school degree or equivalent;germany;67
http://dbpedia.org/resource/Austria;austria;21;Male;High school degree or equivalent;germany;67
http://dbpedia.org/resource/Austria;austria;0;Prefer not to say;NaN;nan;68
http://dbpedia.org/resource/France;france;0;Prefer not to say;NaN;nan;68
http://dbpedia.org/resource/Spain;spain;0;Prefer not to say;NaN;nan;68
http://dbpedia.org/resource/Switzerland;switzerland;24;Female;Master's degree;france;69
http://dbpedia.org/resource/Ukraine;ukraine;24;Female;Master's degree;france;69
http://dbpedia.org/resource/Luxembourg;luxembourg;24;Female;Master's degree;france;69
http://dbpedia.org/resource/France;france;26;Female;Master's degree;france;70
http://dbpedia.org/resource/Portugal;portugal;26;Female;Master's degree;france;70
http://dbpedia.org/resource/Italy;italy;26;Female;Master's degree;france;70
http://dbpedia.org/resource/Germany;germany;34;Female;Master's degree;germany;71
http://dbpedia.org/resource/France;france;34;Female;Master's degree;germany;71
http://dbpedia.org/resource/Belgium;belgium;34;Female;Master's degree;germany;71
http://dbpedia.org/resource/Germany;germany;54;Male;Less than a high school degree;germany;72
http://dbpedia.org/resource/Italy;italy;54;Male;Less than a high school degree;germany;72
http://dbpedia.org/resource/France;france;54;Male;Less than a high school degree;germany;72
http://dbpedia.org/resource/Germany;germany;23;Male;Bachelor's degree;germany;73
http://dbpedia.org/resource/France;france;23;Male;Bachelor's degree;germany;73
http://dbpedia.org/resource/Spain;spain;23;Male;Bachelor's degree;germany;73
http://dbpedia.org/resource/Germany;germany;27;Male;Master's degree;germany;74
http://dbpedia.org/resource/France;france;27;Male;Master's degree;germany;74
http://dbpedia.org/resource/Spain;spain;27;Male;Master's degree;germany;74
http://dbpedia.org/resource/Germany;germany;25;Male;Bachelor's degree;germany;75
http://dbpedia.org/resource/France;france;25;Male;Bachelor's degree;germany;75
http://dbpedia.org/resource/Italy;italy;25;Male;Bachelor's degree;germany;75
http://dbpedia.org/resource/Italy;italy;27;Female;Master's degree;germany;76
http://dbpedia.org/resource/France;france;27;Female;Master's degree;germany;76
http://dbpedia.org/resource/Germany;germany;27;Female;Master's degree;germany;76
http://dbpedia.org/resource/Germany;germany;51;Male;High school degree or equivalent;germany;77
http://dbpedia.org/resource/France;france;51;Male;High school degree or equivalent;germany;77
http://dbpedia.org/resource/Italy;italy;51;Male;High school degree or equivalent;germany;77
http://dbpedia.org/resource/France;france;26;Male;High school degree or equivalent;germany;78
http://dbpedia.org/resource/Denmark;denmark;26;Male;High school degree or equivalent;germany;78
http://dbpedia.org/resource/Switzerland;switzerland;26;Male;High school degree or equivalent;germany;78
http://dbpedia.org/resource/Germany;germany;27;Male;Bachelor's degree;germany;79
http://dbpedia.org/resource/France;france;27;Male;Bachelor's degree;germany;79
http://dbpedia.org/resource/United_Kingdom;united kingdom;27;Male;Bachelor's degree;germany;79
http://dbpedia.org/resource/Germany;germany;25;Male;Master's degree;germany;80
http://dbpedia.org/resource/France;france;25;Male;Master's degree;germany;80
http://dbpedia.org/resource/Spain;spain;25;Male;Master's degree;germany;80
http://dbpedia.org/resource/Spain;spain;25;Male;Bachelor's degree;germany;81
http://dbpedia.org/resource/Poland;poland;25;Male;Bachelor's degree;germany;81
http://dbpedia.org/resource/Sweden;sweden;25;Male;Bachelor's degree;germany;81
http://dbpedia.org/resource/Norway;norway;21;Male;High school degree or equivalent;germany;82
http://dbpedia.org/resource/Republic_of_Ireland;republic of ireland;21;Male;High school degree or equivalent;germany;82
http://dbpedia.org/resource/Sweden;sweden;21;Male;High school degree or equivalent;germany;82
http://dbpedia.org/resource/Germany;germany;23;Female;Bachelor's degree;germany;83
http://dbpedia.org/resource/Italy;italy;23;Female;Bachelor's degree;germany;83
http://dbpedia.org/resource/Spain;spain;23;Female;Bachelor's degree;germany;83
http://dbpedia.org/resource/France;france;28;Female;Master's degree;germany;84
http://dbpedia.org/resource/Germany;germany;28;Female;Master's degree;germany;84
http://dbpedia.org/resource/Italy;italy;28;Female;Master's degree;germany;84
http://dbpedia.org/resource/Sweden;sweden;25;Female;Master's degree;germany;85
http://dbpedia.org/resource/Austria;austria;25;Female;Master's degree;germany;85
http://dbpedia.org/resource/Portugal;portugal;25;Female;Master's degree;germany;85
http://dbpedia.org/resource/Poland;poland;25;Female;Bachelor's degree;russia;86
http://dbpedia.org/resource/Slovakia;slovakia;25;Female;Bachelor's degree;russia;86
http://dbpedia.org/resource/France;france;25;Female;Bachelor's degree;russia;86
http://dbpedia.org/resource/Germany;germany;24;Female;High school degree or equivalent;germany;87
http://dbpedia.org/resource/Iceland;iceland;24;Female;High school degree or equivalent;germany;87
http://dbpedia.org/resource/Norway;norway;24;Female;High school degree or equivalent;germany;87
http://dbpedia.org/resource/Germany;germany;26;Male;Bachelor's degree;germany;88
http://dbpedia.org/resource/Poland;poland;26;Male;Bachelor's degree;germany;88
http://dbpedia.org/resource/Spain;spain;26;Male;Bachelor's degree;germany;88
