"bird","name"
"http://dbpedia.org/resource/Eastern_Canary_Islands_chiffchaff","Eastern Canary Islands chiffchaff"
"http://dbpedia.org/resource/Galinha_à_africana","Galinha à africana"
"http://dbpedia.org/resource/Galinha_à_portuguesa","Galinha à portuguesa"
"http://dbpedia.org/resource/Island_thrush","Island thrush"
"http://dbpedia.org/resource/John_T._Zimmer","John T. Zimmer"
"http://dbpedia.org/resource/Lesser_frigatebird","Lesser frigatebird"
"http://dbpedia.org/resource/Pink-headed_fruit_dove","Pink-headed fruit dove"
"http://dbpedia.org/resource/Regent_parrot","Regent parrot"
"http://dbpedia.org/resource/Royal_flycatcher","Royal flycatcher"
"http://dbpedia.org/resource/Silverbird_(bird)","Silverbird (bird)"
"http://dbpedia.org/resource/Spectacled_owl","Spectacled owl"
"http://dbpedia.org/resource/Tamar_River_Conservation_Area","Tamar River Conservation Area"
"http://dbpedia.org/resource/Troglodytes_(bird)","Troglodytes (bird)"
"http://dbpedia.org/resource/United_Airlines_Flight_297","United Airlines Flight 297"
"http://dbpedia.org/resource/W._E._Clyde_Todd","W. E. Clyde Todd"
"http://dbpedia.org/resource/White-crested_laughingthrush","White-crested laughingthrush"
"http://dbpedia.org/resource/White_woodpecker","White woodpecker"
"http://dbpedia.org/resource/Archbold's_bowerbird","Archbold's bowerbird"
"http://dbpedia.org/resource/Australasian_grebe","Australasian grebe"
"http://dbpedia.org/resource/Black-fronted_parakeet","Black-fronted parakeet"
"http://dbpedia.org/resource/Chestnut-breasted_partridge","Chestnut-breasted partridge"
"http://dbpedia.org/resource/Clear_Creek,_Ontario","Clear Creek, Ontario"
"http://dbpedia.org/resource/Coat_of_arms_of_the_Kurdistan_Region","Coat of arms of the Kurdistan Region"
"http://dbpedia.org/resource/Feathertop","Feathertop"
"http://dbpedia.org/resource/Forest_owlet","Forest owlet"
"http://dbpedia.org/resource/Hans_and_Pat_Suter_Wildlife_Refuge","Hans and Pat Suter Wildlife Refuge"
"http://dbpedia.org/resource/King_Island_emu","King Island emu"
"http://dbpedia.org/resource/Lawes's_parotia","Lawes's parotia"
