"book","name"
"http://dbpedia.org/resource/Calcium_beta-hydroxy-beta-methylbutyrate","Calcium beta-hydroxy-beta-methylbutyrate"
"http://dbpedia.org/resource/Canadian_Certificate_of_Identity","Canadian Certificate of Identity"
"http://dbpedia.org/resource/Carbon_Dreams","Carbon Dreams"
"http://dbpedia.org/resource/City_Primeval","City Primeval"
"http://dbpedia.org/resource/Closer_(novel)","Closer (novel)"
"http://dbpedia.org/resource/Constitution_of_Jammu_and_Kashmir","Constitution of Jammu and Kashmir"
"http://dbpedia.org/resource/Crooked_Tree_(novel)","Crooked Tree (novel)"
"http://dbpedia.org/resource/Custumal","Custumal"
"http://dbpedia.org/resource/Dark_Town","Dark Town"
"http://dbpedia.org/resource/Darkwater:_Voices_from_Within_the_Veil","Darkwater: Voices from Within the Veil"
"http://dbpedia.org/resource/Description_of_a_Struggle_(short_story_collection)","Description of a Struggle (short story collection)"
"http://dbpedia.org/resource/Diaries_1969–1979:_The_Python_Years","Diaries 1969–1979: The Python Years"
"http://dbpedia.org/resource/Doing_Business_Report","Doing Business Report"
"http://dbpedia.org/resource/Double_Identity_(Haddix_novel)","Double Identity (Haddix novel)"
"http://dbpedia.org/resource/Dragon_Boy_(novel)","Dragon Boy (novel)"
"http://dbpedia.org/resource/Dutch_identity_card","Dutch identity card"
"http://dbpedia.org/resource/Elvis_Christmas","Elvis Christmas"
"http://dbpedia.org/resource/Every_Last_Drop","Every Last Drop"
"http://dbpedia.org/resource/Evolutionary_dynamics","Evolutionary dynamics"
"http://dbpedia.org/resource/Extraordinary_Canadians:_Marshall_McLuhan","Extraordinary Canadians: Marshall McLuhan"
"http://dbpedia.org/resource/Forced_Entries:_The_Downtown_Diaries_1971–1973","Forced Entries: The Downtown Diaries 1971–1973"
"http://dbpedia.org/resource/Freddy_Plays_Football","Freddy Plays Football"
"http://dbpedia.org/resource/Freddy_and_the_Perilous_Adventure","Freddy and the Perilous Adventure"
"http://dbpedia.org/resource/G.I._Joe:_A_Real_American_Hero_(Marvel_Comics)","G.I. Joe: A Real American Hero (Marvel Comics)"
"http://dbpedia.org/resource/General_Transit_Feed_Specification","General Transit Feed Specification"
"http://dbpedia.org/resource/Germanus_(Caesar)","Germanus (Caesar)"
"http://dbpedia.org/resource/Girls_Gone_Mild","Girls Gone Mild"
"http://dbpedia.org/resource/Glitz_(novel)","Glitz (novel)"
