"90film","name"
"http://dbpedia.org/resource/Gen¹³_(film)","Gen¹³ (film)"
"http://dbpedia.org/resource/Ghost_Punting","Ghost Punting"
"http://dbpedia.org/resource/Going_All_the_Way","Going All the Way"
"http://dbpedia.org/resource/Hollow_Reed","Hollow Reed"
"http://dbpedia.org/resource/I_Can_Make_You_Love_Me","I Can Make You Love Me"
"http://dbpedia.org/resource/Inspector_Balram","Inspector Balram"
"http://dbpedia.org/resource/Jag_är_din_krigare","Jag är din krigare"
"http://dbpedia.org/resource/Junior_Mandrake","Junior Mandrake"
"http://dbpedia.org/resource/Kannezhuthi_Pottum_Thottu","Kannezhuthi Pottum Thottu"
"http://dbpedia.org/resource/Killer_Image","Killer Image"
"http://dbpedia.org/resource/Kung_Fu_Cult_Master","Kung Fu Cult Master"
"http://dbpedia.org/resource/La_herida_luminosa","La herida luminosa"
"http://dbpedia.org/resource/Laserhawk","Laserhawk"
"http://dbpedia.org/resource/Last_Light_(film)","Last Light (film)"
"http://dbpedia.org/resource/Let_the_Devil_Wear_Black","Let the Devil Wear Black"
"http://dbpedia.org/resource/Loop_(1997_film)","Loop (1997 film)"
"http://dbpedia.org/resource/Lucky_and_Zorba","Lucky and Zorba"
"http://dbpedia.org/resource/Mangalam_Veettil_Manaseswari_Gupta","Mangalam Veettil Manaseswari Gupta"
"http://dbpedia.org/resource/Mazhavillu","Mazhavillu"
"http://dbpedia.org/resource/Me_and_the_Kid","Me and the Kid"
"http://dbpedia.org/resource/Megham","Megham"
"http://dbpedia.org/resource/Meleparambil_Anveedu","Meleparambil Anveedu"
"http://dbpedia.org/resource/Midnight_(1998_film)","Midnight (1998 film)"
"http://dbpedia.org/resource/Miss_420","Miss 420"
"http://dbpedia.org/resource/Mohabbat_(1997_film)","Mohabbat (1997 film)"
"http://dbpedia.org/resource/Molester's_Train:_Nasty_Behavior","Molester's Train: Nasty Behavior"
"http://dbpedia.org/resource/Mother_Teresa:_In_the_Name_of_God's_Poor","Mother Teresa: In the Name of God's Poor"
"http://dbpedia.org/resource/Musketeers_Twenty_Years_After","Musketeers Twenty Years After"
"http://dbpedia.org/resource/Nefertiti,_figlia_del_sole","Nefertiti, figlia del sole"
"http://dbpedia.org/resource/Netherworld_(film)","Netherworld (film)"
"http://dbpedia.org/resource/Nippu_Ravva","Nippu Ravva"
"http://dbpedia.org/resource/Njangal_Santhushtaranu","Njangal Santhushtaranu"
"http://dbpedia.org/resource/No_Contest_(film)","No Contest (film)"
"http://dbpedia.org/resource/No_Contest_II","No Contest II"
"http://dbpedia.org/resource/Oblivion_(1994_film)","Oblivion (1994 film)"
"http://dbpedia.org/resource/On_Board_(film)","On Board (film)"
"http://dbpedia.org/resource/Oru_Abhibhashakante_Case_Diary","Oru Abhibhashakante Case Diary"
"http://dbpedia.org/resource/Over_the_Hill_(1992_film)","Over the Hill (1992 film)"
"http://dbpedia.org/resource/Palnati_Pourusham","Palnati Pourusham"
"http://dbpedia.org/resource/Pariah_(1998_film)","Pariah (1998 film)"
"http://dbpedia.org/resource/Patheyam","Patheyam"
"http://dbpedia.org/resource/Point_Blank_(1998_film)","Point Blank (1998 film)"
"http://dbpedia.org/resource/Pokhi","Pokhi"
"http://dbpedia.org/resource/Rudraksham","Rudraksham"
"http://dbpedia.org/resource/Sanam_(1997_film)","Sanam (1997 film)"
"http://dbpedia.org/resource/Saviour_of_the_Soul","Saviour of the Soul"
"http://dbpedia.org/resource/Saviour_of_the_Soul_II","Saviour of the Soul II"
"http://dbpedia.org/resource/Secrets_(1992_Australian_film)","Secrets (1992 Australian film)"
"http://dbpedia.org/resource/Shelf_Life_(film)","Shelf Life (film)"
"http://dbpedia.org/resource/Soft_Fruit","Soft Fruit"
"http://dbpedia.org/resource/Soorya_Manasam","Soorya Manasam"
"http://dbpedia.org/resource/Sopping_Wet_Married_Teacher:_Doing_It_in_Uniform","Sopping Wet Married Teacher: Doing It in Uniform"
"http://dbpedia.org/resource/Splendor_(1999_film)","Splendor (1999 film)"
"http://dbpedia.org/resource/Star_Maps_(film)","Star Maps (film)"
"http://dbpedia.org/resource/Stepmonster","Stepmonster"
"http://dbpedia.org/resource/Story_from_Croatia","Story from Croatia"
"http://dbpedia.org/resource/Superman_(1997_film)","Superman (1997 film)"
"http://dbpedia.org/resource/Sweet_Temptation_(film)","Sweet Temptation (film)"
"http://dbpedia.org/resource/Swordsmen_in_Double_Flag_Town","Swordsmen in Double Flag Town"
"http://dbpedia.org/resource/T-Force_(film)","T-Force (film)"
"http://dbpedia.org/resource/Tahmina_(film)","Tahmina (film)"
"http://dbpedia.org/resource/Terror_in_the_Mall","Terror in the Mall"
"http://dbpedia.org/resource/The_Addams_Family_(1991_film)","The Addams Family (1991 film)"
"http://dbpedia.org/resource/The_Bad_Pack","The Bad Pack"
"http://dbpedia.org/resource/The_Big_Swap","The Big Swap"
"http://dbpedia.org/resource/The_Car_(1997_film)","The Car (1997 film)"
"http://dbpedia.org/resource/The_Disenchanted_Forest","The Disenchanted Forest"
"http://dbpedia.org/resource/The_Dragon_Chronicles_–_The_Maidens","The Dragon Chronicles – The Maidens"
"http://dbpedia.org/resource/The_East_Is_Red_(1993_film)","The East Is Red (1993 film)"
"http://dbpedia.org/resource/The_First_9½_Weeks","The First 9½ Weeks"
"http://dbpedia.org/resource/The_Human_Shield","The Human Shield"
"http://dbpedia.org/resource/The_King_(1995_film)","The King (1995 film)"
"http://dbpedia.org/resource/The_Life_Before_This","The Life Before This"
"http://dbpedia.org/resource/The_Long_Road_Home_(film)","The Long Road Home (film)"
"http://dbpedia.org/resource/The_Portrait_(1993_film)","The Portrait (1993 film)"
"http://dbpedia.org/resource/The_Sword_Stained_with_Royal_Blood_(film)","The Sword Stained with Royal Blood (film)"
"http://dbpedia.org/resource/The_Sword_of_Many_Loves","The Sword of Many Loves"
"http://dbpedia.org/resource/The_Visual_Bible:_Matthew","The Visual Bible: Matthew"
"http://dbpedia.org/resource/The_Young_Girl_and_the_Monsoon","The Young Girl and the Monsoon"
"http://dbpedia.org/resource/Tom_&_Jerry_(1996_film)","Tom & Jerry (1996 film)"
"http://dbpedia.org/resource/Trojan_Eddie","Trojan Eddie"
"http://dbpedia.org/resource/Tropical_Fish_(film)","Tropical Fish (film)"
"http://dbpedia.org/resource/Trouble_on_the_Corner","Trouble on the Corner"
"http://dbpedia.org/resource/Tsuribaka_Nisshi_4","Tsuribaka Nisshi 4"
"http://dbpedia.org/resource/Tsuribaka_Nisshi_6","Tsuribaka Nisshi 6"
"http://dbpedia.org/resource/Tōki_Rakujitsu","Tōki Rakujitsu"
"http://dbpedia.org/resource/Uncle_Bun","Uncle Bun"
"http://dbpedia.org/resource/Ustaad_(1999_film)","Ustaad (1999 film)"
"http://dbpedia.org/resource/V.I._Warshawski_(film)","V.I. Warshawski (film)"
"http://dbpedia.org/resource/Varnapakittu","Varnapakittu"
"http://dbpedia.org/resource/Vasthuhara","Vasthuhara"
"http://dbpedia.org/resource/Veendum_Chila_Veettukaryangal","Veendum Chila Veettukaryangal"
"http://dbpedia.org/resource/Vendetta_(1995_film)","Vendetta (1995 film)"
"http://dbpedia.org/resource/Waiting_(1991_film)","Waiting (1991 film)"
"http://dbpedia.org/resource/Where_the_Rivers_Flow_North","Where the Rivers Flow North"
"http://dbpedia.org/resource/Woman_of_Desire","Woman of Desire"
"http://dbpedia.org/resource/A_Beautiful_Stranger","A Beautiful Stranger"
"http://dbpedia.org/resource/A_Bright_Shining_Lie_(film)","A Bright Shining Lie (film)"
"http://dbpedia.org/resource/A_Chinese_Torture_Chamber_Story","A Chinese Torture Chamber Story"
"http://dbpedia.org/resource/Aayirappara","Aayirappara"
"http://dbpedia.org/resource/Absolute_Hangover","Absolute Hangover"
"http://dbpedia.org/resource/Acting_on_Impulse","Acting on Impulse"
"http://dbpedia.org/resource/Agonija","Agonija"
"http://dbpedia.org/resource/American_Samurai","American Samurai"
"http://dbpedia.org/resource/Ammoru","Ammoru"
"http://dbpedia.org/resource/Anari_No.1","Anari No.1"
