"usCo","name"
"http://dbpedia.org/resource/Kanawha_Subdivision","Kanawha Subdivision"
"http://dbpedia.org/resource/Lane_Subdivision","Lane Subdivision"
"http://dbpedia.org/resource/Laurel_Fork_Subdivision","Laurel Fork Subdivision"
"http://dbpedia.org/resource/Logan_Subdivision","Logan Subdivision"
"http://dbpedia.org/resource/Logan_and_Southern_Subdivision","Logan and Southern Subdivision"
"http://dbpedia.org/resource/Denny's","Denny's"
"http://dbpedia.org/resource/Wild_Dunes","Wild Dunes"
"http://dbpedia.org/resource/Atlantic_Coast_Line_Railroad","Atlantic Coast Line Railroad"
"http://dbpedia.org/resource/Big_Bayou_Canot_rail_accident","Big Bayou Canot rail accident"
"http://dbpedia.org/resource/Blackbaud","Blackbaud"
"http://dbpedia.org/resource/Bouie_v._City_of_Columbia","Bouie v. City of Columbia"
"http://dbpedia.org/resource/CSX_Corporation","CSX Corporation"
"http://dbpedia.org/resource/Conrail_Shared_Assets_Operations","Conrail Shared Assets Operations"
"http://dbpedia.org/resource/Deerfield_Beach_station","Deerfield Beach station"
"http://dbpedia.org/resource/Download.com","Download.com"
"http://dbpedia.org/resource/EMC_E4","EMC E4"
"http://dbpedia.org/resource/Fort_Lauderdale_station","Fort Lauderdale station"
"http://dbpedia.org/resource/Hollywood_station_(Florida)","Hollywood station (Florida)"
"http://dbpedia.org/resource/Howard_Street_Tunnel_fire","Howard Street Tunnel fire"
"http://dbpedia.org/resource/Juice_Train","Juice Train"
"http://dbpedia.org/resource/Louisville_and_Nashville_Railroad","Louisville and Nashville Railroad"
"http://dbpedia.org/resource/New_York_Connecting_Railroad","New York Connecting Railroad"
"http://dbpedia.org/resource/Northern_Branch","Northern Branch"
"http://dbpedia.org/resource/Opa-locka_station","Opa-locka station"
"http://dbpedia.org/resource/Richmond,_Fredericksburg_and_Potomac_Railroad","Richmond, Fredericksburg and Potomac Railroad"
"http://dbpedia.org/resource/Richmond_and_Danville_Railroad","Richmond and Danville Railroad"
"http://dbpedia.org/resource/River_Subdivision_(CSX_Transportation)","River Subdivision (CSX Transportation)"
"http://dbpedia.org/resource/Seaboard_Air_Line_Railroad","Seaboard Air Line Railroad"
"http://dbpedia.org/resource/Silver_Meteor","Silver Meteor"
"http://dbpedia.org/resource/Silver_Star_(Amtrak_train)","Silver Star (Amtrak train)"
"http://dbpedia.org/resource/Southern_Railway_(U.S.)","Southern Railway (U.S.)"
"http://dbpedia.org/resource/West_Palm_Beach_station","West Palm Beach station"
"http://dbpedia.org/resource/Atlanta_and_Richmond_Air-Line_Railway","Atlanta and Richmond Air-Line Railway"
"http://dbpedia.org/resource/Blenheim_Ginger_Ale","Blenheim Ginger Ale"
"http://dbpedia.org/resource/Clinchfield_Railroad","Clinchfield Railroad"
"http://dbpedia.org/resource/Dixie-Narco","Dixie-Narco"
"http://dbpedia.org/resource/Florida_Central_and_Peninsular_Railroad","Florida Central and Peninsular Railroad"
"http://dbpedia.org/resource/Livingston_Avenue_Bridge","Livingston Avenue Bridge"
"http://dbpedia.org/resource/Plant_System","Plant System"
"http://dbpedia.org/resource/TTX_Company","TTX Company"
