"fastFood","name"
"http://dbpedia.org/resource/Pizzeria_Otto","Pizzeria Otto"
"http://dbpedia.org/resource/Portland_Cà_Phê","Portland Cà Phê"
"http://dbpedia.org/resource/Red_Sauce_Pizza","Red Sauce Pizza"
"http://dbpedia.org/resource/Regent_Theatre,_Brisbane","Regent Theatre, Brisbane"
"http://dbpedia.org/resource/Regional_street_food","Regional street food"
"http://dbpedia.org/resource/Gerber_sandwich","Gerber sandwich"
"http://dbpedia.org/resource/Gerde's_Folk_City","Gerde's Folk City"
"http://dbpedia.org/resource/Honey_walnut_shrimp","Honey walnut shrimp"
"http://dbpedia.org/resource/Ice_kenkey","Ice kenkey"
"http://dbpedia.org/resource/Jucy_Lucy","Jucy Lucy"
"http://dbpedia.org/resource/The_Hungarian_Pastry_Shop","The Hungarian Pastry Shop"
"http://dbpedia.org/resource/Sriracha_sauce_(Huy_Fong_Foods)","Sriracha sauce (Huy Fong Foods)"
"http://dbpedia.org/resource/St._Johns_Signal_Tower_Gas_Station","St. Johns Signal Tower Gas Station"
"http://dbpedia.org/resource/Starbucks","Starbucks"
"http://dbpedia.org/resource/Starbucks_Center","Starbucks Center"
"http://dbpedia.org/resource/Starbucks_Reserve","Starbucks Reserve"
"http://dbpedia.org/resource/Stephen_Gillett","Stephen Gillett"
"http://dbpedia.org/resource/Cuban_sandwich","Cuban sandwich"
"http://dbpedia.org/resource/Cudighi","Cudighi"
"http://dbpedia.org/resource/Cuppy's_Coffee","Cuppy's Coffee"
"http://dbpedia.org/resource/Curry_mee","Curry mee"
"http://dbpedia.org/resource/Currywurst","Currywurst"
"http://dbpedia.org/resource/Cyberia,_London","Cyberia, London"
"http://dbpedia.org/resource/Denver_sandwich","Denver sandwich"
"http://dbpedia.org/resource/Yellow_Cab_Pizza","Yellow Cab Pizza"
"http://dbpedia.org/resource/Yiu_Hai_Seto_Quon","Yiu Hai Seto Quon"
"http://dbpedia.org/resource/Zapiekanka","Zapiekanka"
"http://dbpedia.org/resource/Zarraffas_Coffee","Zarraffas Coffee"
"http://dbpedia.org/resource/Ziferblat","Ziferblat"
"http://dbpedia.org/resource/Zizzi","Zizzi"
"http://dbpedia.org/resource/Ed_LaDou","Ed LaDou"
"http://dbpedia.org/resource/Enchilada","Enchilada"
"http://dbpedia.org/resource/Freeth's_Coffee_House","Freeth's Coffee House"
"http://dbpedia.org/resource/Freud,_Oxford","Freud, Oxford"
"http://dbpedia.org/resource/Ham_and_cheese_sandwich","Ham and cheese sandwich"
"http://dbpedia.org/resource/Picarones","Picarones"
"http://dbpedia.org/resource/Plăcintă","Plăcintă"
"http://dbpedia.org/resource/New_Haven-style_pizza","New Haven-style pizza"
"http://dbpedia.org/resource/Sausage_bread","Sausage bread"
"http://dbpedia.org/resource/Shingle_Inn","Shingle Inn"
"http://dbpedia.org/resource/Souvlaki","Souvlaki"
"http://dbpedia.org/resource/The_Human_Bean","The Human Bean"
"http://dbpedia.org/resource/Smørrebrød","Smørrebrød"
"http://dbpedia.org/resource/Spizzico","Spizzico"
"http://dbpedia.org/resource/New_Park_Pizza","New Park Pizza"
"http://dbpedia.org/resource/Rebecca's_Cafe","Rebecca's Cafe"
"http://dbpedia.org/resource/Antica_Pizzeria_Port'Alba","Antica Pizzeria Port'Alba"
"http://dbpedia.org/resource/Apizza_Scholls","Apizza Scholls"
"http://dbpedia.org/resource/Filet-O-Fish","Filet-O-Fish"
"http://dbpedia.org/resource/Fish_ball","Fish ball"
"http://dbpedia.org/resource/Fluffernutter","Fluffernutter"
"http://dbpedia.org/resource/Flying_Star_(restaurant)","Flying Star (restaurant)"
"http://dbpedia.org/resource/Fong_Chong","Fong Chong"
"http://dbpedia.org/resource/Bunny_chow","Bunny chow"
"http://dbpedia.org/resource/Burrito","Burrito"
"http://dbpedia.org/resource/Nolan_Bushnell","Nolan Bushnell"
"http://dbpedia.org/resource/Nom_Wah_Tea_Parlor","Nom Wah Tea Parlor"
"http://dbpedia.org/resource/Van_Houtte","Van Houtte"
"http://dbpedia.org/resource/Herveys_Range_Heritage_Tea_Rooms","Herveys Range Heritage Tea Rooms"
"http://dbpedia.org/resource/List_of_coffeehouse_chains","List of coffeehouse chains"
"http://dbpedia.org/resource/Paul_Bassett_(coffeehouse_chain)","Paul Bassett (coffeehouse chain)"
"http://dbpedia.org/resource/Rizzo's_Fine_Pizza","Rizzo's Fine Pizza"
