"actor","name"
"http://dbpedia.org/resource/Nathaniel_Buzolic","Nathaniel Buzolic"
"http://dbpedia.org/resource/Niall_Matter","Niall Matter"
"http://dbpedia.org/resource/Nick_Kroll","Nick Kroll"
"http://dbpedia.org/resource/Olaf_Hytten","Olaf Hytten"
"http://dbpedia.org/resource/Olin_Howland","Olin Howland"
"http://dbpedia.org/resource/Oliver_Dillon","Oliver Dillon"
"http://dbpedia.org/resource/Osamu_Kobayashi_(voice_actor)","Osamu Kobayashi (voice actor)"
"http://dbpedia.org/resource/Paul_Denny","Paul Denny"
"http://dbpedia.org/resource/Paul_Ganus","Paul Ganus"
"http://dbpedia.org/resource/Paul_Stevens_(actor)","Paul Stevens (actor)"
"http://dbpedia.org/resource/Paul_Tassone","Paul Tassone"
"http://dbpedia.org/resource/Peter_Griffith","Peter Griffith"
"http://dbpedia.org/resource/Peter_Haber","Peter Haber"
"http://dbpedia.org/resource/Philip_Anthony-Rodriguez","Philip Anthony-Rodriguez"
"http://dbpedia.org/resource/Pierre_Andre","Pierre Andre"
"http://dbpedia.org/resource/Rafael_Durán","Rafael Durán"
"http://dbpedia.org/resource/Ranjit_Mallick","Ranjit Mallick"
"http://dbpedia.org/resource/Ray_Danton","Ray Danton"
"http://dbpedia.org/resource/Raymond_Allen_(television_actor)","Raymond Allen (television actor)"
"http://dbpedia.org/resource/Raymond_McKee","Raymond McKee"
"http://dbpedia.org/resource/Reno_Wilson","Reno Wilson"
"http://dbpedia.org/resource/Rob_Spendlove","Rob Spendlove"
"http://dbpedia.org/resource/Robert_Logan_Jr.","Robert Logan Jr."
"http://dbpedia.org/resource/Rodolfo_Ranni","Rodolfo Ranni"
"http://dbpedia.org/resource/Rodrigo_Hilbert","Rodrigo Hilbert"
"http://dbpedia.org/resource/Roger_Hill_(actor)","Roger Hill (actor)"
"http://dbpedia.org/resource/Roland_Manookian","Roland Manookian"
"http://dbpedia.org/resource/Ross_Elliott","Ross Elliott"
"http://dbpedia.org/resource/Russell_Hicks","Russell Hicks"
"http://dbpedia.org/resource/Ryan_Johnson_(actor)","Ryan Johnson (actor)"
"http://dbpedia.org/resource/S._J._Warmington","S. J. Warmington"
"http://dbpedia.org/resource/Sam_Beazley","Sam Beazley"
"http://dbpedia.org/resource/Sammy_McKim","Sammy McKim"
"http://dbpedia.org/resource/Scott_Michael_Foster","Scott Michael Foster"
"http://dbpedia.org/resource/Sean_Cameron_Michael","Sean Cameron Michael"
"http://dbpedia.org/resource/Seth_Gabel","Seth Gabel"
"http://dbpedia.org/resource/Sharat_Saxena","Sharat Saxena"
"http://dbpedia.org/resource/Shawn_Doyle","Shawn Doyle"
"http://dbpedia.org/resource/Shinji_Nakae","Shinji Nakae"
"http://dbpedia.org/resource/Shūsei_Nakamura","Shūsei Nakamura"
"http://dbpedia.org/resource/Simon_Westaway","Simon Westaway"
"http://dbpedia.org/resource/Siwat_Chotchaicharin","Siwat Chotchaicharin"
"http://dbpedia.org/resource/Skylar_Astin","Skylar Astin"
"http://dbpedia.org/resource/Spencer_Charters","Spencer Charters"
"http://dbpedia.org/resource/Stanley_Blystone","Stanley Blystone"
"http://dbpedia.org/resource/Stefan_Sauk","Stefan Sauk"
"http://dbpedia.org/resource/Stephen_Marcus","Stephen Marcus"
"http://dbpedia.org/resource/Stephen_Strimpell","Stephen Strimpell"
"http://dbpedia.org/resource/Steven_Elder","Steven Elder"
"http://dbpedia.org/resource/Steven_Keats","Steven Keats"
"http://dbpedia.org/resource/Stig_Järrel","Stig Järrel"
"http://dbpedia.org/resource/Stipe_Erceg","Stipe Erceg"
"http://dbpedia.org/resource/Sven_Lindberg","Sven Lindberg"
"http://dbpedia.org/resource/Sven_Martinek","Sven Martinek"
"http://dbpedia.org/resource/Sweeney_Young","Sweeney Young"
"http://dbpedia.org/resource/Takanori_Ōyama","Takanori Ōyama"
"http://dbpedia.org/resource/Takaya_Kuroda","Takaya Kuroda"
"http://dbpedia.org/resource/Takuya_Kirimoto","Takuya Kirimoto"
"http://dbpedia.org/resource/Taurean_Blacque","Taurean Blacque"
"http://dbpedia.org/resource/Ted_Adams_(actor)","Ted Adams (actor)"
"http://dbpedia.org/resource/Terence_Knox","Terence Knox"
"http://dbpedia.org/resource/Theodore_von_Eltz","Theodore von Eltz"
"http://dbpedia.org/resource/Thomas_Hanzon","Thomas Hanzon"
"http://dbpedia.org/resource/Thomas_Turgoose","Thomas Turgoose"
"http://dbpedia.org/resource/Thommy_Berggren","Thommy Berggren"
"http://dbpedia.org/resource/Thurston_Hall","Thurston Hall"
"http://dbpedia.org/resource/Tony_Denman","Tony Denman"
"http://dbpedia.org/resource/Torkel_Petersson","Torkel Petersson"
"http://dbpedia.org/resource/Trevor_White_(actor)","Trevor White (actor)"
"http://dbpedia.org/resource/Tsuyoshi_Ihara","Tsuyoshi Ihara"
"http://dbpedia.org/resource/Varun_Badola","Varun Badola"
"http://dbpedia.org/resource/Victor_Slezak","Victor Slezak"
"http://dbpedia.org/resource/Vikas_Sethi","Vikas Sethi"
"http://dbpedia.org/resource/Wang_Baoqiang","Wang Baoqiang"
"http://dbpedia.org/resource/Wil_Traval","Wil Traval"
"http://dbpedia.org/resource/William_Bennett_Kilpack","William Bennett Kilpack"
"http://dbpedia.org/resource/William_Elmer","William Elmer"
"http://dbpedia.org/resource/William_Fairbanks","William Fairbanks"
"http://dbpedia.org/resource/William_H._West_(entertainer)","William H. West (entertainer)"
"http://dbpedia.org/resource/William_Haade","William Haade"
"http://dbpedia.org/resource/Witold_Pyrkosz","Witold Pyrkosz"
"http://dbpedia.org/resource/Åke_Fridell","Åke Fridell"
"http://dbpedia.org/resource/Adil_Khan_(actor)","Adil Khan (actor)"
"http://dbpedia.org/resource/Albert_Rémy","Albert Rémy"
"http://dbpedia.org/resource/Alberto_Argibay","Alberto Argibay"
"http://dbpedia.org/resource/Alfred_Hsing","Alfred Hsing"
"http://dbpedia.org/resource/Alonso_Espeleta","Alonso Espeleta"
"http://dbpedia.org/resource/Amr_Waked","Amr Waked"
"http://dbpedia.org/resource/Andrus_Vaarik","Andrus Vaarik"
"http://dbpedia.org/resource/Angus_Wright_(actor)","Angus Wright (actor)"
"http://dbpedia.org/resource/Anil_Panachooran","Anil Panachooran"
"http://dbpedia.org/resource/Anthony_Laciura","Anthony Laciura"
"http://dbpedia.org/resource/Anton_Shagin","Anton Shagin"
"http://dbpedia.org/resource/Antonio_Centa","Antonio Centa"
"http://dbpedia.org/resource/Antonio_Sabàto_Sr.","Antonio Sabàto Sr."
"http://dbpedia.org/resource/Austin_MacDonald","Austin MacDonald"
"http://dbpedia.org/resource/Baburaj_(actor)","Baburaj (actor)"
"http://dbpedia.org/resource/Barun_Sobti","Barun Sobti"
"http://dbpedia.org/resource/Basil_Hoffman","Basil Hoffman"
"http://dbpedia.org/resource/Ben_Hollingsworth_(actor)","Ben Hollingsworth (actor)"
"http://dbpedia.org/resource/Ben_Koldyke","Ben Koldyke"
"http://dbpedia.org/resource/Bernat_Quintana","Bernat Quintana"
"http://dbpedia.org/resource/Bhikhari_Thakur","Bhikhari Thakur"
"http://dbpedia.org/resource/Björn_Gustafson","Björn Gustafson"
"http://dbpedia.org/resource/Bjørn_Sand","Bjørn Sand"
"http://dbpedia.org/resource/Bo_Brundin","Bo Brundin"
"http://dbpedia.org/resource/Bobbie_Beard","Bobbie Beard"
"http://dbpedia.org/resource/Bobby_Clark_(juvenile_actor)","Bobby Clark (juvenile actor)"
"http://dbpedia.org/resource/Bobby_Connelly","Bobby Connelly"
"http://dbpedia.org/resource/Boris_Plotnikov","Boris Plotnikov"
"http://dbpedia.org/resource/Bradley_Steven_Perry","Bradley Steven Perry"
"http://dbpedia.org/resource/Brendan_Meyer","Brendan Meyer"
"http://dbpedia.org/resource/Brian_Beacock","Brian Beacock"
"http://dbpedia.org/resource/Bruno_Barnabe","Bruno Barnabe"
"http://dbpedia.org/resource/Cainan_Wiebe","Cainan Wiebe"
"http://dbpedia.org/resource/Chadwick_Boseman","Chadwick Boseman"
"http://dbpedia.org/resource/Charles_Farrell_(Irish_actor)","Charles Farrell (Irish actor)"
"http://dbpedia.org/resource/Charles_Malik_Whitfield","Charles Malik Whitfield"
"http://dbpedia.org/resource/Charles_Quinlivan","Charles Quinlivan"
"http://dbpedia.org/resource/Charlie_Pecoraro","Charlie Pecoraro"
"http://dbpedia.org/resource/Chen_Baoguo","Chen Baoguo"
"http://dbpedia.org/resource/Chiké_Okonkwo","Chiké Okonkwo"
"http://dbpedia.org/resource/Choi_Min-soo","Choi Min-soo"
"http://dbpedia.org/resource/Choi_Moo-ryong","Choi Moo-ryong"
"http://dbpedia.org/resource/Chris_M._Allport","Chris M. Allport"
"http://dbpedia.org/resource/Christian_Doermer","Christian Doermer"
"http://dbpedia.org/resource/Clinton_Sundberg","Clinton Sundberg"
"http://dbpedia.org/resource/Daniel_Breaker","Daniel Breaker"
"http://dbpedia.org/resource/Daniel_Filho","Daniel Filho"
"http://dbpedia.org/resource/Daniel_Quinn_(actor)","Daniel Quinn (actor)"
"http://dbpedia.org/resource/Daniil_Strakhov","Daniil Strakhov"
