"actor","name"
"http://dbpedia.org/resource/Nancy_Kulp","Nancy Kulp"
"http://dbpedia.org/resource/Nancy_Reagan","Nancy Reagan"
"http://dbpedia.org/resource/Ned_Romero","Ned Romero"
"http://dbpedia.org/resource/Nedda_Casei","Nedda Casei"
"http://dbpedia.org/resource/Nelson_Eddy","Nelson Eddy"
"http://dbpedia.org/resource/Carlos_Alexander","Carlos Alexander"
"http://dbpedia.org/resource/Carlos_Guichandut","Carlos Guichandut"
"http://dbpedia.org/resource/Carmen_Bonaplata","Carmen Bonaplata"
"http://dbpedia.org/resource/Carol_Brice","Carol Brice"
"http://dbpedia.org/resource/Phil_Rubenstein","Phil Rubenstein"
"http://dbpedia.org/resource/Philip_Perlman_(actor)","Philip Perlman (actor)"
"http://dbpedia.org/resource/Philip_Sterling","Philip Sterling"
"http://dbpedia.org/resource/Pilar_Lorengar","Pilar Lorengar"
"http://dbpedia.org/resource/Piotr_Beczała","Piotr Beczała"
"http://dbpedia.org/resource/Rain_Dove","Rain Dove"
"http://dbpedia.org/resource/Raj_Bhakta","Raj Bhakta"
"http://dbpedia.org/resource/Ralph_Waite","Ralph Waite"
"http://dbpedia.org/resource/Rathnawali_Kekunawela","Rathnawali Kekunawela"
"http://dbpedia.org/resource/Ravi_Sarma","Ravi Sarma"
"http://dbpedia.org/resource/Ray_Benson","Ray Benson"
"http://dbpedia.org/resource/Ray_Girardin","Ray Girardin"
"http://dbpedia.org/resource/Raymond_Wolansky","Raymond Wolansky"
"http://dbpedia.org/resource/Raúl_Giménez","Raúl Giménez"
"http://dbpedia.org/resource/Regina_Resnik","Regina Resnik"
"http://dbpedia.org/resource/Regina_Vicarino","Regina Vicarino"
"http://dbpedia.org/resource/Giacomo_Rimini","Giacomo Rimini"
"http://dbpedia.org/resource/Philip_Maero","Philip Maero"
"http://dbpedia.org/resource/Quintessa_Swindell","Quintessa Swindell"
"http://dbpedia.org/resource/Spiro_Malas","Spiro Malas"
"http://dbpedia.org/resource/Stefan_Szkafarowsky","Stefan Szkafarowsky"
"http://dbpedia.org/resource/Stephen_Peace","Stephen Peace"
"http://dbpedia.org/resource/Stephen_Pearlman","Stephen Pearlman"
"http://dbpedia.org/resource/Steven_B._Jepson","Steven B. Jepson"
"http://dbpedia.org/resource/Steven_Michael_Quezada","Steven Michael Quezada"
"http://dbpedia.org/resource/Steven_Seagal","Steven Seagal"
"http://dbpedia.org/resource/Davóne_Tines","Davóne Tines"
"http://dbpedia.org/resource/Deanne_Meek","Deanne Meek"
"http://dbpedia.org/resource/Deondray_Gossett","Deondray Gossett"
"http://dbpedia.org/resource/Yolande_Fox","Yolande Fox"
"http://dbpedia.org/resource/Yoshimasa_Hosoya","Yoshimasa Hosoya"
"http://dbpedia.org/resource/Yoshino_Aoyama","Yoshino Aoyama"
"http://dbpedia.org/resource/Yu_Tian","Yu Tian"
"http://dbpedia.org/resource/Yuhua_Hamasaki","Yuhua Hamasaki"
"http://dbpedia.org/resource/Yui_Ishikawa","Yui Ishikawa"
"http://dbpedia.org/resource/Yuki_Kaji","Yuki Kaji"
"http://dbpedia.org/resource/Yvonne_D'Arle","Yvonne D'Arle"
"http://dbpedia.org/resource/Zachary_James","Zachary James"
"http://dbpedia.org/resource/Zheng_Cao","Zheng Cao"
"http://dbpedia.org/resource/Zubeen_Garg","Zubeen Garg"
"http://dbpedia.org/resource/Ed_Waterstreet","Ed Waterstreet"
"http://dbpedia.org/resource/Eddie_Garrett","Eddie Garrett"
"http://dbpedia.org/resource/Emilio_Insolera","Emilio Insolera"
"http://dbpedia.org/resource/Emilio_de_Gogorza","Emilio de Gogorza"
"http://dbpedia.org/resource/Frederick_Burchinal","Frederick Burchinal"
"http://dbpedia.org/resource/Fredrick_Redd","Fredrick Redd"
"http://dbpedia.org/resource/Ron_Bottcher","Ron Bottcher"
"http://dbpedia.org/resource/Pocho_(crocodile)","Pocho (crocodile)"
"http://dbpedia.org/resource/Marie_Powers","Marie Powers"
"http://dbpedia.org/resource/Robert_Goodloe","Robert Goodloe"
"http://dbpedia.org/resource/Robert_Honeysucker","Robert Honeysucker"
"http://dbpedia.org/resource/Anna_Kasyan","Anna Kasyan"
"http://dbpedia.org/resource/Anthony_Roth_Costanzo","Anthony Roth Costanzo"
"http://dbpedia.org/resource/Antonio_Sabàto_Jr.","Antonio Sabàto Jr."
"http://dbpedia.org/resource/Antony_Ponzini","Antony Ponzini"
"http://dbpedia.org/resource/Aoi_Yūki","Aoi Yūki"
"http://dbpedia.org/resource/Ara_Berberian","Ara Berberian"
"http://dbpedia.org/resource/Ariela_Barer","Ariela Barer"
"http://dbpedia.org/resource/Arnold_Schwarzenegger","Arnold Schwarzenegger"
"http://dbpedia.org/resource/Arnold_Voketaitis","Arnold Voketaitis"
"http://dbpedia.org/resource/Tom_Southern","Tom Southern"
"http://dbpedia.org/resource/Alan_Titus","Alan Titus"
"http://dbpedia.org/resource/Florence_Wickham","Florence Wickham"
"http://dbpedia.org/resource/Floyd_Levine","Floyd Levine"
"http://dbpedia.org/resource/Blanche_Thebom","Blanche Thebom"
"http://dbpedia.org/resource/Nicholas_Saunders_(actor)","Nicholas Saunders (actor)"
"http://dbpedia.org/resource/Nico_Tortorella","Nico Tortorella"
"http://dbpedia.org/resource/Noble_Willingham","Noble Willingham"
"http://dbpedia.org/resource/Norman_Leavitt","Norman Leavitt"
"http://dbpedia.org/resource/Norman_Towns","Norman Towns"
"http://dbpedia.org/resource/Career_(play)","Career (play)"
"http://dbpedia.org/resource/Carl_Clemons-Hopkins","Carl Clemons-Hopkins"
"http://dbpedia.org/resource/Utpal_Das","Utpal Das"
"http://dbpedia.org/resource/Val_Bisoglio","Val Bisoglio"
"http://dbpedia.org/resource/Valentina_(drag_queen)","Valentina (drag queen)"
"http://dbpedia.org/resource/Valerian_Ruminski","Valerian Ruminski"
"http://dbpedia.org/resource/Vera_Little","Vera Little"
"http://dbpedia.org/resource/Vic_Gilliam","Vic Gilliam"
"http://dbpedia.org/resource/Iosefa_Enari","Iosefa Enari"
"http://dbpedia.org/resource/Isabel_Leonard","Isabel Leonard"
"http://dbpedia.org/resource/Isabelle_Urquhart","Isabelle Urquhart"
"http://dbpedia.org/resource/Nicholas_Isherwood","Nicholas Isherwood"
"http://dbpedia.org/resource/Geraldine_Decker","Geraldine Decker"
"http://dbpedia.org/resource/List_of_animals_in_film_and_television","List of animals in film and television"
"http://dbpedia.org/resource/Ricky_Renée","Ricky Renée"
"http://dbpedia.org/resource/Rina_Honnizumi","Rina Honnizumi"
"http://dbpedia.org/resource/Rob_Yang","Rob Yang"
"http://dbpedia.org/resource/Skyler_Cooper","Skyler Cooper"
"http://dbpedia.org/resource/Taylor_A._Purdee","Taylor A. Purdee"
"http://dbpedia.org/resource/Abigail_Fischer","Abigail Fischer"
"http://dbpedia.org/resource/Brigette_Lundy-Paine","Brigette Lundy-Paine"
"http://dbpedia.org/resource/Bronisław_Cieślak","Bronisław Cieślak"
"http://dbpedia.org/resource/Bruce_Hlibok","Bruce Hlibok"
"http://dbpedia.org/resource/Bruce_Hubbard","Bruce Hubbard"
"http://dbpedia.org/resource/Bruce_Kellogg","Bruce Kellogg"
"http://dbpedia.org/resource/Bruce_Miller_(theater_director)","Bruce Miller (theater director)"
"http://dbpedia.org/resource/Bruscambille","Bruscambille"
"http://dbpedia.org/resource/CJ_Jones","CJ Jones"
"http://dbpedia.org/resource/Calvin_Klein","Calvin Klein"
"http://dbpedia.org/resource/Camellia_Johnson","Camellia Johnson"
"http://dbpedia.org/resource/Carlos_Sánchez_(comedian)","Carlos Sánchez (comedian)"
"http://dbpedia.org/resource/Carolina_White","Carolina White"
"http://dbpedia.org/resource/Casey_Mongillo","Casey Mongillo"
"http://dbpedia.org/resource/Cathy_Berberian","Cathy Berberian"
"http://dbpedia.org/resource/Cecil_Arden","Cecil Arden"
"http://dbpedia.org/resource/Celeste_Lecesne","Celeste Lecesne"
"http://dbpedia.org/resource/Celeste_O'Connor","Celeste O'Connor"
"http://dbpedia.org/resource/Christopher_Bolduc","Christopher Bolduc"
"http://dbpedia.org/resource/Christopher_Mitchum","Christopher Mitchum"
"http://dbpedia.org/resource/Christopher_Temporelli","Christopher Temporelli"
"http://dbpedia.org/resource/Claramae_Turner","Claramae Turner"
"http://dbpedia.org/resource/Clarence_Whitehill","Clarence Whitehill"
"http://dbpedia.org/resource/Clark_Howat","Clark Howat"
"http://dbpedia.org/resource/Claude_Albright","Claude Albright"
"http://dbpedia.org/resource/Claude_Heater","Claude Heater"
"http://dbpedia.org/resource/Clint_Eastwood","Clint Eastwood"
"http://dbpedia.org/resource/Concepció_Bordalba","Concepció Bordalba"
"http://dbpedia.org/resource/Courtney_Stodden","Courtney Stodden"
"http://dbpedia.org/resource/Craig_Irvin","Craig Irvin"
"http://dbpedia.org/resource/Crystal_the_Monkey","Crystal the Monkey"
"http://dbpedia.org/resource/Cynthia_Clarey","Cynthia Clarey"
"http://dbpedia.org/resource/Cynthia_Nixon","Cynthia Nixon"
"http://dbpedia.org/resource/Cyrus_Grace_Dunham","Cyrus Grace Dunham"
"http://dbpedia.org/resource/Daiki_Yamashita","Daiki Yamashita"
"http://dbpedia.org/resource/Daniel_Durant","Daniel Durant"
"http://dbpedia.org/resource/Daniel_J._Lockwood","Daniel J. Lockwood"
