"pol","name"
"http://dbpedia.org/resource/A._P._de_Zoysa","A. P. de Zoysa"
"http://dbpedia.org/resource/A._Pappa_Sundaram","A. Pappa Sundaram"
"http://dbpedia.org/resource/A._Pendleton_Strother","A. Pendleton Strother"
"http://dbpedia.org/resource/A._Piatt_Andrew","A. Piatt Andrew"
"http://dbpedia.org/resource/A._Pratt_Kessler","A. Pratt Kessler"
"http://dbpedia.org/resource/A._Q._M._Badruddoza_Chowdhury","A. Q. M. Badruddoza Chowdhury"
"http://dbpedia.org/resource/A._R._A._Hafeez","A. R. A. Hafeez"
"http://dbpedia.org/resource/A._R._A._M._Abubucker","A. R. A. M. Abubucker"
"http://dbpedia.org/resource/A._R._Anjan_Umma","A. R. Anjan Umma"
"http://dbpedia.org/resource/A._R._Antulay","A. R. Antulay"
"http://dbpedia.org/resource/A._R._Colquhoun","A. R. Colquhoun"
"http://dbpedia.org/resource/A._R._Lakshmanan","A. R. Lakshmanan"
"http://dbpedia.org/resource/A._R._M._Abdul_Cader","A. R. M. Abdul Cader"
"http://dbpedia.org/resource/A._R._McCabe","A. R. McCabe"
"http://dbpedia.org/resource/A._R._Meek","A. R. Meek"
"http://dbpedia.org/resource/A._R._Schwartz","A. R. Schwartz"
"http://dbpedia.org/resource/A._Raja","A. Raja"
"http://dbpedia.org/resource/A._Raja_(Kerala_politician)","A. Raja (Kerala politician)"
"http://dbpedia.org/resource/A._Ranganatha_Mudaliar","A. Ranganatha Mudaliar"
"http://dbpedia.org/resource/A._Ravichandran","A. Ravichandran"
"http://dbpedia.org/resource/A._Ray_Olpin","A. Ray Olpin"
"http://dbpedia.org/resource/A._Raymond_Randolph","A. Raymond Randolph"
"http://dbpedia.org/resource/A._Richard_Caputo","A. Richard Caputo"
"http://dbpedia.org/resource/A._Ronald_Button","A. Ronald Button"
"http://dbpedia.org/resource/A._Ross_Eckler","A. Ross Eckler"
"http://dbpedia.org/resource/A._Ross_Webster","A. Ross Webster"
"http://dbpedia.org/resource/A._Russell_Colpitts","A. Russell Colpitts"
"http://dbpedia.org/resource/A._S._Bopanna","A. S. Bopanna"
"http://dbpedia.org/resource/A._S._Bush","A. S. Bush"
"http://dbpedia.org/resource/A._S._J._Carnahan","A. S. J. Carnahan"
"http://dbpedia.org/resource/A._S._M._Abdur_Rab","A. S. M. Abdur Rab"
"http://dbpedia.org/resource/A._S._M._Feroz","A. S. M. Feroz"
"http://dbpedia.org/resource/A._S._M._Shahjahan","A. S. M. Shahjahan"
"http://dbpedia.org/resource/A._S._Oka","A. S. Oka"
"http://dbpedia.org/resource/A._S._Ruth","A. S. Ruth"
