"mount","name"
"http://dbpedia.org/resource/Pic_de_Sanfonts","Pic de Sanfonts"
"http://dbpedia.org/resource/Pic_del_Port_Vell","Pic del Port Vell"
"http://dbpedia.org/resource/Pic_dels_Aspres","Pic dels Aspres"
"http://dbpedia.org/resource/Pigne_d'Arolla","Pigne d'Arolla"
"http://dbpedia.org/resource/Plover_Hill","Plover Hill"
"http://dbpedia.org/resource/Pollino","Pollino"
"http://dbpedia.org/resource/Popes_Peak","Popes Peak"
"http://dbpedia.org/resource/Prince_Alexander_Mountains","Prince Alexander Mountains"
"http://dbpedia.org/resource/Puig_Major","Puig Major"
"http://dbpedia.org/resource/Puigmal","Puigmal"
"http://dbpedia.org/resource/Reineskarvet","Reineskarvet"
"http://dbpedia.org/resource/Reinsfjellet","Reinsfjellet"
"http://dbpedia.org/resource/River_Knobs_(West_Virginia)","River Knobs (West Virginia)"
"http://dbpedia.org/resource/Rosengarten_group","Rosengarten group"
"http://dbpedia.org/resource/Rosengartenspitze","Rosengartenspitze"
"http://dbpedia.org/resource/Saipal","Saipal"
"http://dbpedia.org/resource/Sarawat_Mountains","Sarawat Mountains"
"http://dbpedia.org/resource/Sauyr_Zhotasy","Sauyr Zhotasy"
"http://dbpedia.org/resource/Sawtooth_Peak","Sawtooth Peak"
"http://dbpedia.org/resource/Schafberg_(Salzkammergut)","Schafberg (Salzkammergut)"
"http://dbpedia.org/resource/Schynige_Platte","Schynige Platte"
"http://dbpedia.org/resource/Seefin_(Ballyhoura_Mountains)","Seefin (Ballyhoura Mountains)"
"http://dbpedia.org/resource/Seilandstuva","Seilandstuva"
"http://dbpedia.org/resource/Selwyn_Range_(Australia)","Selwyn Range (Australia)"
"http://dbpedia.org/resource/Sentinel_Rock","Sentinel Rock"
"http://dbpedia.org/resource/Serranía_de_Macuira","Serranía de Macuira"
"http://dbpedia.org/resource/Shingu_Charpa","Shingu Charpa"
"http://dbpedia.org/resource/Shining_Rock","Shining Rock"
"http://dbpedia.org/resource/Sierra_Crest","Sierra Crest"
"http://dbpedia.org/resource/Sierra_del_Escudo_de_Cabuérniga","Sierra del Escudo de Cabuérniga"
"http://dbpedia.org/resource/Sliabh_Beagh","Sliabh Beagh"
"http://dbpedia.org/resource/Slieve_Carr","Slieve Carr"
"http://dbpedia.org/resource/Slieve_Snaght","Slieve Snaght"
"http://dbpedia.org/resource/Slievemaan","Slievemaan"
"http://dbpedia.org/resource/Snøkolla","Snøkolla"
"http://dbpedia.org/resource/Soltindan","Soltindan"
"http://dbpedia.org/resource/South_Mountain_(Nova_Scotia)","South Mountain (Nova Scotia)"
"http://dbpedia.org/resource/Southern_Oregon_Coast_Range","Southern Oregon Coast Range"
"http://dbpedia.org/resource/Southern_Rocky_Mountains","Southern Rocky Mountains"
"http://dbpedia.org/resource/Spåtind","Spåtind"
"http://dbpedia.org/resource/Sròn_a'_Choire_Ghairbh","Sròn a' Choire Ghairbh"
"http://dbpedia.org/resource/Stob_Ghabhar","Stob Ghabhar"
"http://dbpedia.org/resource/Store_Blåmann","Store Blåmann"
"http://dbpedia.org/resource/Syberg","Syberg"
"http://dbpedia.org/resource/Taapaca","Taapaca"
"http://dbpedia.org/resource/Table_Mountain_(Tulare_County,_California)","Table Mountain (Tulare County, California)"
"http://dbpedia.org/resource/Table_Mountain_(Wicklow)","Table Mountain (Wicklow)"
"http://dbpedia.org/resource/Talcott_Mountain","Talcott Mountain"
"http://dbpedia.org/resource/Tanasee_Bald","Tanasee Bald"
"http://dbpedia.org/resource/Tanggula_Mountains","Tanggula Mountains"
"http://dbpedia.org/resource/Tara_Hill,_County_Wexford","Tara Hill, County Wexford"
"http://dbpedia.org/resource/Taroko_Mountain","Taroko Mountain"
"http://dbpedia.org/resource/Telegraph_Peak_(California)","Telegraph Peak (California)"
"http://dbpedia.org/resource/Terevaka","Terevaka"
"http://dbpedia.org/resource/The_Cairnwell","The Cairnwell"
"http://dbpedia.org/resource/Thimble_Peak","Thimble Peak"
"http://dbpedia.org/resource/Thornbury_Hill","Thornbury Hill"
"http://dbpedia.org/resource/Tolmie_Peak","Tolmie Peak"
"http://dbpedia.org/resource/Town_Hill,_Bermuda","Town Hill, Bermuda"
"http://dbpedia.org/resource/Trascău_Mountains","Trascău Mountains"
"http://dbpedia.org/resource/Turtle_Mountain_(Alberta)","Turtle Mountain (Alberta)"
"http://dbpedia.org/resource/Tuzo_Wilson_Seamounts","Tuzo Wilson Seamounts"
"http://dbpedia.org/resource/Twin_Sisters_Mountain","Twin Sisters Mountain"
"http://dbpedia.org/resource/Twmbarlwm","Twmbarlwm"
"http://dbpedia.org/resource/United_States_Capitol_dome","United States Capitol dome"
"http://dbpedia.org/resource/Velká_Deštná","Velká Deštná"
"http://dbpedia.org/resource/Verno","Verno"
"http://dbpedia.org/resource/Vesleskarvet","Vesleskarvet"
"http://dbpedia.org/resource/Voio","Voio"
"http://dbpedia.org/resource/Volcán_Wolf","Volcán Wolf"
"http://dbpedia.org/resource/Vourinos","Vourinos"
"http://dbpedia.org/resource/Vysoká_(Carpathian_mountain)","Vysoká (Carpathian mountain)"
"http://dbpedia.org/resource/White_Hill_(Nova_Scotia)","White Hill (Nova Scotia)"
"http://dbpedia.org/resource/White_Tank_Mountains","White Tank Mountains"
"http://dbpedia.org/resource/Whiteside_Mountain","Whiteside Mountain"
"http://dbpedia.org/resource/Woody's_Knob","Woody's Knob"
"http://dbpedia.org/resource/Xiangyang_Mountain","Xiangyang Mountain"
"http://dbpedia.org/resource/Xuelian_Feng","Xuelian Feng"
"http://dbpedia.org/resource/Zapaleri","Zapaleri"
"http://dbpedia.org/resource/Þórólfsfell","Þórólfsfell"
"http://dbpedia.org/resource/Ōhinerau_/_Mount_Hobson","Ōhinerau / Mount Hobson"
"http://dbpedia.org/resource/Świnica","Świnica"
"http://dbpedia.org/resource/Škrlatica","Škrlatica"
"http://dbpedia.org/resource/Špik","Špik"
"http://dbpedia.org/resource/Kohala","Kohala"
"http://dbpedia.org/resource/2010_Nuclear_Security_Summit","2010 Nuclear Security Summit"
"http://dbpedia.org/resource/2012_Nuclear_Security_Summit","2012 Nuclear Security Summit"
"http://dbpedia.org/resource/Ahern_Peak","Ahern Peak"
"http://dbpedia.org/resource/Ahr_Hills","Ahr Hills"
"http://dbpedia.org/resource/Aiguille_Peak","Aiguille Peak"
"http://dbpedia.org/resource/Aitana","Aitana"
"http://dbpedia.org/resource/Allen_Mountain_(Montana)","Allen Mountain (Montana)"
"http://dbpedia.org/resource/Allison_Peak","Allison Peak"
"http://dbpedia.org/resource/Almost-a-Dog_Mountain","Almost-a-Dog Mountain"
"http://dbpedia.org/resource/Alnus_Peak","Alnus Peak"
"http://dbpedia.org/resource/Amphitheater_Mountain_(Montana)","Amphitheater Mountain (Montana)"
"http://dbpedia.org/resource/Andy_Good_Peak","Andy Good Peak"
"http://dbpedia.org/resource/Anseris_Mons","Anseris Mons"
"http://dbpedia.org/resource/Apex_Mountain","Apex Mountain"
"http://dbpedia.org/resource/Apikuni_Mountain","Apikuni Mountain"
"http://dbpedia.org/resource/Appistoki_Peak","Appistoki Peak"
"http://dbpedia.org/resource/Arnside_Knott","Arnside Knott"
"http://dbpedia.org/resource/Ash_Mountain_(Montana)","Ash Mountain (Montana)"
"http://dbpedia.org/resource/Atkins_Peak","Atkins Peak"
"http://dbpedia.org/resource/Aye_Mountain","Aye Mountain"
"http://dbpedia.org/resource/Bad_Marriage_Mountain","Bad Marriage Mountain"
"http://dbpedia.org/resource/Badger_Hills","Badger Hills"
"http://dbpedia.org/resource/Bald_Knoll","Bald Knoll"
"http://dbpedia.org/resource/Bannock_Peak","Bannock Peak"
"http://dbpedia.org/resource/Baril_Peak","Baril Peak"
"http://dbpedia.org/resource/Bastion_Peak_(Canada)","Bastion Peak (Canada)"
"http://dbpedia.org/resource/Bear_Mountain_(Georgia)","Bear Mountain (Georgia)"
"http://dbpedia.org/resource/Bear_Mountain_(Glacier_County,_Montana)","Bear Mountain (Glacier County, Montana)"
"http://dbpedia.org/resource/Bearhead_Mountain_(Montana)","Bearhead Mountain (Montana)"
"http://dbpedia.org/resource/Beaverhead_Mountains","Beaverhead Mountains"
"http://dbpedia.org/resource/Bennington_Peak","Bennington Peak"
"http://dbpedia.org/resource/Berserker_Range","Berserker Range"
"http://dbpedia.org/resource/Big_Snowy_Mountains","Big Snowy Mountains"
"http://dbpedia.org/resource/Bingley_Peak","Bingley Peak"
"http://dbpedia.org/resource/Birks_Fell","Birks Fell"
"http://dbpedia.org/resource/Bishops_Cap","Bishops Cap"
"http://dbpedia.org/resource/Black_Reef","Black Reef"
"http://dbpedia.org/resource/Black_Virgin_Mountain","Black Virgin Mountain"
"http://dbpedia.org/resource/Blackfoot_Mountain","Blackfoot Mountain"
"http://dbpedia.org/resource/Blackrock_Mountain_(Canada)","Blackrock Mountain (Canada)"
"http://dbpedia.org/resource/Bloudkova_velikanka","Bloudkova velikanka"
"http://dbpedia.org/resource/Boom_Mountain","Boom Mountain"
"http://dbpedia.org/resource/Boulder_Hills_(Montana)","Boulder Hills (Montana)"
"http://dbpedia.org/resource/Boulder_Mountains_(Montana)","Boulder Mountains (Montana)"
"http://dbpedia.org/resource/Breaker_Mountain","Breaker Mountain"
"http://dbpedia.org/resource/Bric_Agnellino","Bric Agnellino"
"http://dbpedia.org/resource/Bric_del_Terma","Bric del Terma"
"http://dbpedia.org/resource/Bric_delle_Camere","Bric delle Camere"
"http://dbpedia.org/resource/Brier_Knob_(Avery_County,_North_Carolina)","Brier Knob (Avery County, North Carolina)"
"http://dbpedia.org/resource/Bukadaban_Feng","Bukadaban Feng"
"http://dbpedia.org/resource/Bulgheria","Bulgheria"
"http://dbpedia.org/resource/Bull_Mountains","Bull Mountains"
"http://dbpedia.org/resource/Butcher_Hills","Butcher Hills"
"http://dbpedia.org/resource/Calderwood_Hills","Calderwood Hills"
"http://dbpedia.org/resource/Caledonia_Mountain","Caledonia Mountain"
"http://dbpedia.org/resource/Canadian_Cascade_Arc","Canadian Cascade Arc"
"http://dbpedia.org/resource/Caniche_Peak","Caniche Peak"
"http://dbpedia.org/resource/Canto_Alto","Canto Alto"
"http://dbpedia.org/resource/Castle_Mountains_(Montana)","Castle Mountains (Montana)"
"http://dbpedia.org/resource/Cathedral_Peak_(Montana)","Cathedral Peak (Montana)"
"http://dbpedia.org/resource/Cave_Mountain","Cave Mountain"
"http://dbpedia.org/resource/Cayuse_Hills","Cayuse Hills"
"http://dbpedia.org/resource/Central_Colorado_volcanic_field","Central Colorado volcanic field"
"http://dbpedia.org/resource/Ceresfjellet","Ceresfjellet"
"http://dbpedia.org/resource/Cerro_Armazones","Cerro Armazones"
"http://dbpedia.org/resource/Cerro_Prieto","Cerro Prieto"
"http://dbpedia.org/resource/Cervati","Cervati"
"http://dbpedia.org/resource/Chaba_Peak","Chaba Peak"
"http://dbpedia.org/resource/Chadwickryggen","Chadwickryggen"
"http://dbpedia.org/resource/Chalk_Buttes_(Montana)","Chalk Buttes (Montana)"
"http://dbpedia.org/resource/Chatkal_Range","Chatkal Range"
"http://dbpedia.org/resource/Chimney_Peak","Chimney Peak"
"http://dbpedia.org/resource/Christian_Peak","Christian Peak"
"http://dbpedia.org/resource/Cima_Piazzi","Cima Piazzi"
"http://dbpedia.org/resource/Cima_Viola","Cima Viola"
"http://dbpedia.org/resource/Cima_del_Fop","Cima del Fop"
"http://dbpedia.org/resource/Cima_del_Redentore_(Sibillini_Mountains)","Cima del Redentore (Sibillini Mountains)"
"http://dbpedia.org/resource/Citadel_Mountain","Citadel Mountain"
"http://dbpedia.org/resource/Citadel_Peak","Citadel Peak"
"http://dbpedia.org/resource/Claife_Heights","Claife Heights"
"http://dbpedia.org/resource/Clements_Mountain","Clements Mountain"
"http://dbpedia.org/resource/Coccovello","Coccovello"
"http://dbpedia.org/resource/Cold_Fell_(Pennines)","Cold Fell (Pennines)"
"http://dbpedia.org/resource/Collier_Peak","Collier Peak"
"http://dbpedia.org/resource/Cool_Mountain","Cool Mountain"
"http://dbpedia.org/resource/Cracker_(benchmark)","Cracker (benchmark)"
"http://dbpedia.org/resource/Croaghaun,_County_Carlow","Croaghaun, County Carlow"
"http://dbpedia.org/resource/Croce_di_Monte_Bove","Croce di Monte Bove"
"http://dbpedia.org/resource/Crowfeet_Mountain","Crowfeet Mountain"
"http://dbpedia.org/resource/Crowfoot_Mountain_(Alberta)","Crowfoot Mountain (Alberta)"
"http://dbpedia.org/resource/Crowsnest_Ridge","Crowsnest Ridge"
"http://dbpedia.org/resource/Cullahill_Mountain","Cullahill Mountain"
"http://dbpedia.org/resource/Curly_Bear_Mountain","Curly Bear Mountain"
"http://dbpedia.org/resource/Cymbeline's_Castle","Cymbeline's Castle"
"http://dbpedia.org/resource/Daba_Mountains","Daba Mountains"
"http://dbpedia.org/resource/Dahl_Hills","Dahl Hills"
"http://dbpedia.org/resource/Defender_Mountain","Defender Mountain"
"http://dbpedia.org/resource/Denti_della_Vecchia","Denti della Vecchia"
"http://dbpedia.org/resource/Dhupgarh","Dhupgarh"
"http://dbpedia.org/resource/Dickie_Hills","Dickie Hills"
"http://dbpedia.org/resource/Divergence_Peak","Divergence Peak"
"http://dbpedia.org/resource/Divide_Mountain","Divide Mountain"
"http://dbpedia.org/resource/Division_Mountain","Division Mountain"
"http://dbpedia.org/resource/Dodd_Fell_Hill","Dodd Fell Hill"
"http://dbpedia.org/resource/Dolomiti_lucane","Dolomiti lucane"
"http://dbpedia.org/resource/Dome_Mountain_(Wyoming)","Dome Mountain (Wyoming)"
"http://dbpedia.org/resource/Douai_Mountain","Douai Mountain"
"http://dbpedia.org/resource/Drawbridge_Peak","Drawbridge Peak"
"http://dbpedia.org/resource/Dry_Range","Dry Range"
"http://dbpedia.org/resource/Dufton_Pike","Dufton Pike"
"http://dbpedia.org/resource/Dungeon_Peak","Dungeon Peak"
"http://dbpedia.org/resource/Eagle_Plume_Mountain","Eagle Plume Mountain"
"http://dbpedia.org/resource/East_Flattop_Mountain","East Flattop Mountain"
"http://dbpedia.org/resource/Ebon_Peak","Ebon Peak"
"http://dbpedia.org/resource/Echo_Peak_(Wyoming)","Echo Peak (Wyoming)"
"http://dbpedia.org/resource/Eden_Peak","Eden Peak"
"http://dbpedia.org/resource/Ekalaka_Hills","Ekalaka Hills"
"http://dbpedia.org/resource/Elephas_Mountain","Elephas Mountain"
"http://dbpedia.org/resource/Ellmauer_Halt","Ellmauer Halt"
"http://dbpedia.org/resource/Eon_Mountain","Eon Mountain"
"http://dbpedia.org/resource/Epprechtstein","Epprechtstein"
"http://dbpedia.org/resource/Ernest_Peak","Ernest Peak"
"http://dbpedia.org/resource/Faliesi","Faliesi"
"http://dbpedia.org/resource/Farbus_Mountain","Farbus Mountain"
"http://dbpedia.org/resource/Fatigue_Mountain","Fatigue Mountain"
"http://dbpedia.org/resource/Festubert_Mountain","Festubert Mountain"
"http://dbpedia.org/resource/Flathead_Alps","Flathead Alps"
"http://dbpedia.org/resource/Flattop_Mountain_(North_Carolina)","Flattop Mountain (North Carolina)"
"http://dbpedia.org/resource/Flattops_(Montana)","Flattops (Montana)"
"http://dbpedia.org/resource/Fleischbank_(Kaiser)","Fleischbank (Kaiser)"
"http://dbpedia.org/resource/Flinsch_Peak","Flinsch Peak"
"http://dbpedia.org/resource/Flint_Creek_Range","Flint Creek Range"
"http://dbpedia.org/resource/Flute_Summit_(British_Columbia)","Flute Summit (British Columbia)"
