"afrAnimal","name"
"http://dbpedia.org/resource/Tomopterna_luganga","Tomopterna luganga"
"http://dbpedia.org/resource/Trevor's_free-tailed_bat","Trevor's free-tailed bat"
"http://dbpedia.org/resource/Violet-backed_starling","Violet-backed starling"
"http://dbpedia.org/resource/Water_thick-knee","Water thick-knee"
"http://dbpedia.org/resource/Werneria_bambutensis","Werneria bambutensis"
"http://dbpedia.org/resource/Werneria_iboundji","Werneria iboundji"
"http://dbpedia.org/resource/Werneria_mertensiana","Werneria mertensiana"
"http://dbpedia.org/resource/Werneria_submontana","Werneria submontana"
"http://dbpedia.org/resource/Werneria_tandyi","Werneria tandyi"
"http://dbpedia.org/resource/West_Canary_skink","West Canary skink"
"http://dbpedia.org/resource/White-browed_scrub_robin","White-browed scrub robin"
"http://dbpedia.org/resource/White-starred_robin","White-starred robin"
"http://dbpedia.org/resource/White-throated_robin-chat","White-throated robin-chat"
"http://dbpedia.org/resource/Wolterstorffina_mirei","Wolterstorffina mirei"
"http://dbpedia.org/resource/Wright's_skink","Wright's skink"
"http://dbpedia.org/resource/Aulacephalodon","Aulacephalodon"
"http://dbpedia.org/resource/Criocephalosaurus","Criocephalosaurus"
"http://dbpedia.org/resource/Dadadon","Dadadon"
"http://dbpedia.org/resource/Evolution_of_lemurs","Evolution of lemurs"
"http://dbpedia.org/resource/Flap-necked_chameleon","Flap-necked chameleon"
"http://dbpedia.org/resource/Forest_cobra","Forest cobra"
"http://dbpedia.org/resource/Hannibal_(1959_film)","Hannibal (1959 film)"
"http://dbpedia.org/resource/Ignavusaurus","Ignavusaurus"
"http://dbpedia.org/resource/Kombuisia","Kombuisia"
"http://dbpedia.org/resource/Lemurs_of_Madagascar_(book)","Lemurs of Madagascar (book)"
"http://dbpedia.org/resource/Mare_d'Oursi","Mare d'Oursi"
"http://dbpedia.org/resource/Menadon","Menadon"
"http://dbpedia.org/resource/Monard's_African_climbing_mouse","Monard's African climbing mouse"
"http://dbpedia.org/resource/My_Friend_Ganesha_3","My Friend Ganesha 3"
"http://dbpedia.org/resource/Nosmips","Nosmips"
"http://dbpedia.org/resource/Senegalese_wolf","Senegalese wolf"
"http://dbpedia.org/resource/Shansiodon","Shansiodon"
"http://dbpedia.org/resource/Tent_tortoise","Tent tortoise"
"http://dbpedia.org/resource/The_Prince_&_Me:_The_Elephant_Adventure","The Prince & Me: The Elephant Adventure"
"http://dbpedia.org/resource/Thechikottukavu_Ramachandran","Thechikottukavu Ramachandran"
"http://dbpedia.org/resource/Afrotragulus","Afrotragulus"
"http://dbpedia.org/resource/Amblyodipsas_rodhaini","Amblyodipsas rodhaini"
"http://dbpedia.org/resource/Angolan_giant_blind_snake","Angolan giant blind snake"
"http://dbpedia.org/resource/Bouet's_worm_snake","Bouet's worm snake"
"http://dbpedia.org/resource/Dilambdogale","Dilambdogale"
"http://dbpedia.org/resource/Dimaitherium","Dimaitherium"
