"mGenre","name"
"http://dbpedia.org/resource/Jesus_music","Jesus music"
"http://dbpedia.org/resource/Josei_manga","Josei manga"
"http://dbpedia.org/resource/Jousting","Jousting"
"http://dbpedia.org/resource/Kanto_(music)","Kanto (music)"
"http://dbpedia.org/resource/Knowledge","Knowledge"
"http://dbpedia.org/resource/Krautrock","Krautrock"
"http://dbpedia.org/resource/Learning","Learning"
"http://dbpedia.org/resource/Libraries","Libraries"
"http://dbpedia.org/resource/List_of_electronic_music_genres","List of electronic music genres"
"http://dbpedia.org/resource/List_of_men's_magazines","List of men's magazines"
"http://dbpedia.org/resource/List_of_science_magazines","List of science magazines"
"http://dbpedia.org/resource/Machine_learning","Machine learning"
"http://dbpedia.org/resource/Magic_Realism","Magic Realism"
"http://dbpedia.org/resource/Mahayana_sutras","Mahayana sutras"
"http://dbpedia.org/resource/Management_information_system","Management information system"
"http://dbpedia.org/resource/Manzai","Manzai"
"http://dbpedia.org/resource/Martial_Arts","Martial Arts"
"http://dbpedia.org/resource/Mathematical_modeling","Mathematical modeling"
"http://dbpedia.org/resource/Medical_imaging","Medical imaging"
"http://dbpedia.org/resource/Medieval_Metal","Medieval Metal"
"http://dbpedia.org/resource/Miami_Bass","Miami Bass"
"http://dbpedia.org/resource/Microfinance","Microfinance"
"http://dbpedia.org/resource/Microhouse","Microhouse"
"http://dbpedia.org/resource/Miniature_Wargaming","Miniature Wargaming"
"http://dbpedia.org/resource/Miniature_wargaming","Miniature wargaming"
