"author","name"
"http://dbpedia.org/resource/Laura_Ingalls_Wilder","Laura Ingalls Wilder"
"http://dbpedia.org/resource/Laurence_Binyon","Laurence Binyon"
"http://dbpedia.org/resource/Leontios","Leontios"
"http://dbpedia.org/resource/Louis_Gerhard_De_Geer","Louis Gerhard De Geer"
"http://dbpedia.org/resource/Louis_de_Rouvroy,_duc_de_Saint-Simon","Louis de Rouvroy, duc de Saint-Simon"
"http://dbpedia.org/resource/Louise_Brooks","Louise Brooks"
"http://dbpedia.org/resource/Lucia_Elizabeth_Vestris","Lucia Elizabeth Vestris"
"http://dbpedia.org/resource/Lyndon_LaRouche","Lyndon LaRouche"
"http://dbpedia.org/resource/Lytton_Strachey","Lytton Strachey"
"http://dbpedia.org/resource/Magnus_Hirschfeld","Magnus Hirschfeld"
"http://dbpedia.org/resource/Margery_Allingham","Margery Allingham"
"http://dbpedia.org/resource/Marie_Corelli","Marie Corelli"
"http://dbpedia.org/resource/Mark_Twain","Mark Twain"
"http://dbpedia.org/resource/Martina_Navratilova","Martina Navratilova"
"http://dbpedia.org/resource/Max_Beerbohm","Max Beerbohm"
"http://dbpedia.org/resource/Member_of_the_European_Parliament","Member of the European Parliament"
"http://dbpedia.org/resource/Menander","Menander"
"http://dbpedia.org/resource/Microsoft_FrontPage","Microsoft FrontPage"
"http://dbpedia.org/resource/Miguel_de_Unamuno","Miguel de Unamuno"
"http://dbpedia.org/resource/Milton_Babbitt","Milton Babbitt"
"http://dbpedia.org/resource/Muhammad_Zia-ul-Haq","Muhammad Zia-ul-Haq"
"http://dbpedia.org/resource/Murder_of_Gwen_Araujo","Murder of Gwen Araujo"
"http://dbpedia.org/resource/Newt_Gingrich","Newt Gingrich"
"http://dbpedia.org/resource/Owen_Wister","Owen Wister"
"http://dbpedia.org/resource/Paracelsus","Paracelsus"
"http://dbpedia.org/resource/Paramahansa_Yogananda","Paramahansa Yogananda"
"http://dbpedia.org/resource/Patrick_Nagel","Patrick Nagel"
"http://dbpedia.org/resource/Paul-Émile_Lecoq_de_Boisbaudran","Paul-Émile Lecoq de Boisbaudran"
"http://dbpedia.org/resource/Paul_Verlaine","Paul Verlaine"
"http://dbpedia.org/resource/Peter_Cushing","Peter Cushing"
"http://dbpedia.org/resource/Peter_Lougheed","Peter Lougheed"
"http://dbpedia.org/resource/Philip_Snowden,_1st_Viscount_Snowden","Philip Snowden, 1st Viscount Snowden"
"http://dbpedia.org/resource/Philo","Philo"
"http://dbpedia.org/resource/Pierre_Loti","Pierre Loti"
