"usTech","name"
"http://dbpedia.org/resource/Arms_(song)","Arms (song)"
"http://dbpedia.org/resource/Art_Academy_(video_game)","Art Academy (video game)"
"http://dbpedia.org/resource/Aura-Aura_Climber","Aura-Aura Climber"
"http://dbpedia.org/resource/Catherine_Wayne","Catherine Wayne"
"http://dbpedia.org/resource/Colder_Weather","Colder Weather"
"http://dbpedia.org/resource/Dunlop_Pneumatic_Tyre_Co_Ltd_v_New_Garage_&_Motor_Co_Ltd","Dunlop Pneumatic Tyre Co Ltd v New Garage & Motor Co Ltd"
"http://dbpedia.org/resource/Duran_Duran_(song)","Duran Duran (song)"
"http://dbpedia.org/resource/E.l.f._(cosmetics)","E.l.f. (cosmetics)"
"http://dbpedia.org/resource/En_haluu_kuolla_tänä_yönä","En haluu kuolla tänä yönä"
"http://dbpedia.org/resource/FBD_Holdings","FBD Holdings"
"http://dbpedia.org/resource/Flip,_Flop_and_Fly","Flip, Flop and Fly"
"http://dbpedia.org/resource/Get_Some_(Lykke_Li_song)","Get Some (Lykke Li song)"
"http://dbpedia.org/resource/Giselle_González_(beauty_pageant_titleholder)","Giselle González (beauty pageant titleholder)"
"http://dbpedia.org/resource/Goldie_Gold_and_Action_Jack","Goldie Gold and Action Jack"
"http://dbpedia.org/resource/Good_Times_Bad_Times","Good Times Bad Times"
"http://dbpedia.org/resource/Goosebumps:_Escape_from_Horrorland","Goosebumps: Escape from Horrorland"
"http://dbpedia.org/resource/Hannah_Montana_video_games","Hannah Montana video games"
"http://dbpedia.org/resource/Harlem_Desire","Harlem Desire"
"http://dbpedia.org/resource/Hills_and_Rivers_Remain","Hills and Rivers Remain"
"http://dbpedia.org/resource/I'm_Good,_I'm_Gone","I'm Good, I'm Gone"
"http://dbpedia.org/resource/I_Follow_Rivers","I Follow Rivers"
"http://dbpedia.org/resource/If_Time_Is_All_I_Have","If Time Is All I Have"
"http://dbpedia.org/resource/Ihmisten_edessä_(song)","Ihmisten edessä (song)"
"http://dbpedia.org/resource/In_Your_Dreams_(Stevie_Nicks_album)","In Your Dreams (Stevie Nicks album)"
