"lake","name"
"http://dbpedia.org/resource/Kapchagay_Reservoir","Kapchagay Reservoir"
"http://dbpedia.org/resource/Killer_Lake_(Ontario)","Killer Lake (Ontario)"
"http://dbpedia.org/resource/L'Atalante_basin","L'Atalante basin"
"http://dbpedia.org/resource/Lago_Verde_(Queyras)","Lago Verde (Queyras)"
"http://dbpedia.org/resource/Lake_Amtkeli","Lake Amtkeli"
"http://dbpedia.org/resource/Lake_Bracken","Lake Bracken"
"http://dbpedia.org/resource/Lake_Carroll_(Illinois)","Lake Carroll (Illinois)"
"http://dbpedia.org/resource/Lake_Cerrillos","Lake Cerrillos"
"http://dbpedia.org/resource/Lake_Dem","Lake Dem"
"http://dbpedia.org/resource/Lake_Harney","Lake Harney"
"http://dbpedia.org/resource/Lake_Higa","Lake Higa"
"http://dbpedia.org/resource/Lake_Kununurra","Lake Kununurra"
"http://dbpedia.org/resource/Lake_Köyceğiz","Lake Köyceğiz"
"http://dbpedia.org/resource/Lake_Lefferts","Lake Lefferts"
"http://dbpedia.org/resource/Lake_Miguel_Alemán","Lake Miguel Alemán"
"http://dbpedia.org/resource/Lake_Ming","Lake Ming"
"http://dbpedia.org/resource/Lake_Muhazi","Lake Muhazi"
"http://dbpedia.org/resource/Lake_Munson","Lake Munson"
"http://dbpedia.org/resource/Lake_Mutanda","Lake Mutanda"
"http://dbpedia.org/resource/Lake_Pflugerville","Lake Pflugerville"
"http://dbpedia.org/resource/Lake_Plastiras","Lake Plastiras"
"http://dbpedia.org/resource/Lake_Rämen","Lake Rämen"
"http://dbpedia.org/resource/Lake_Thompson_(South_Dakota)","Lake Thompson (South Dakota)"
"http://dbpedia.org/resource/Lake_Tōgō","Lake Tōgō"
"http://dbpedia.org/resource/Lake_Vistonida","Lake Vistonida"
"http://dbpedia.org/resource/Lake_Vrana_(Cres)","Lake Vrana (Cres)"
"http://dbpedia.org/resource/Lake_Vrana_(Dalmatia)","Lake Vrana (Dalmatia)"
"http://dbpedia.org/resource/Lake_of_Cutilia","Lake of Cutilia"
"http://dbpedia.org/resource/Link_Lake_(Temagami)","Link Lake (Temagami)"
"http://dbpedia.org/resource/Little_Merrill_Lake_(Merrill_Creek)","Little Merrill Lake (Merrill Creek)"
"http://dbpedia.org/resource/Little_Mink_Lake_(Lennox_and_Addington_County)","Little Mink Lake (Lennox and Addington County)"
"http://dbpedia.org/resource/Little_Para_Reservoir","Little Para Reservoir"
"http://dbpedia.org/resource/Llyn_Llyffant","Llyn Llyffant"
"http://dbpedia.org/resource/Loíza_Lake","Loíza Lake"
"http://dbpedia.org/resource/Mare_d'Oursi","Mare d'Oursi"
"http://dbpedia.org/resource/Marfell_Lakes","Marfell Lakes"
"http://dbpedia.org/resource/Mephisto_Lake","Mephisto Lake"
