"euroSight","name"
"http://dbpedia.org/resource/John_W._Blodgett_Estate","John W. Blodgett Estate"
"http://dbpedia.org/resource/Kent_County_Civil_War_Monument","Kent County Civil War Monument"
"http://dbpedia.org/resource/Primera_Iglesia_Metodista_Unida_de_Ponce","Primera Iglesia Metodista Unida de Ponce"
"http://dbpedia.org/resource/Villa_Maria_(Long_Island)","Villa Maria (Long Island)"
"http://dbpedia.org/resource/Wendell_August_Forge","Wendell August Forge"
"http://dbpedia.org/resource/Fire_Station_19_(Atlanta,_Georgia)","Fire Station 19 (Atlanta, Georgia)"
"http://dbpedia.org/resource/Ponce_De_Leon_Boutique_Hotel","Ponce De Leon Boutique Hotel"
"http://dbpedia.org/resource/St._Faith's_Church,_Sélestat","St. Faith's Church, Sélestat"
"http://dbpedia.org/resource/Uppatasanti_Pagoda","Uppatasanti Pagoda"
"http://dbpedia.org/resource/Holy_Trinity_Church,_Bangalore","Holy Trinity Church, Bangalore"
"http://dbpedia.org/resource/Abravanel_Hall","Abravanel Hall"
"http://dbpedia.org/resource/Naumburg_Cathedral_and_the_High_Medieval_Cultural_Landscape_of_the_Rivers_Saale_and_Unstrut","Naumburg Cathedral and the High Medieval Cultural Landscape of the Rivers Saale and Unstrut"
"http://dbpedia.org/resource/Wich_Stand","Wich Stand"
"http://dbpedia.org/resource/Tavares_(restaurant)","Tavares (restaurant)"
"http://dbpedia.org/resource/St_Michael_and_All_Angels_Church,_Polwatte","St Michael and All Angels Church, Polwatte"
"http://dbpedia.org/resource/Club_of_the_factory_named_after_Peter_Alekseev","Club of the factory named after Peter Alekseev"
"http://dbpedia.org/resource/Big_Chicken","Big Chicken"
"http://dbpedia.org/resource/Eames_House","Eames House"
"http://dbpedia.org/resource/Sather_Gate","Sather Gate"
"http://dbpedia.org/resource/Daniels_&_Fisher_Tower","Daniels & Fisher Tower"
"http://dbpedia.org/resource/Gamble_House_(Pasadena,_California)","Gamble House (Pasadena, California)"
"http://dbpedia.org/resource/Georgia-Pacific_Tower","Georgia-Pacific Tower"
"http://dbpedia.org/resource/The_Angel,_Islington","The Angel, Islington"
"http://dbpedia.org/resource/Benewah_Milk_Bottle","Benewah Milk Bottle"
"http://dbpedia.org/resource/Cooch_Behar_Palace","Cooch Behar Palace"
"http://dbpedia.org/resource/Illinois_National_Guard_Armory_(Rockford)","Illinois National Guard Armory (Rockford)"
"http://dbpedia.org/resource/Islamic_Centre_(Maldives)","Islamic Centre (Maldives)"
"http://dbpedia.org/resource/Marquette_Building_(Chicago)","Marquette Building (Chicago)"
"http://dbpedia.org/resource/The_Cairo","The Cairo"
"http://dbpedia.org/resource/Villard_Houses","Villard Houses"
"http://dbpedia.org/resource/Vorontsov_Lighthouse","Vorontsov Lighthouse"
"http://dbpedia.org/resource/LaSalle_Street","LaSalle Street"
"http://dbpedia.org/resource/Dipylon,_Carlsberg","Dipylon, Carlsberg"
"http://dbpedia.org/resource/Elephant_Tower,_Carlsberg","Elephant Tower, Carlsberg"
"http://dbpedia.org/resource/Hotel_Metropole,_Dublin","Hotel Metropole, Dublin"
"http://dbpedia.org/resource/Scenic_Scioto_Heritage_Trail","Scenic Scioto Heritage Trail"
"http://dbpedia.org/resource/Brooks_Catsup_Bottle_water_tower","Brooks Catsup Bottle water tower"
"http://dbpedia.org/resource/John_Ford_Home","John Ford Home"
"http://dbpedia.org/resource/Letras_de_Ponce","Letras de Ponce"
"http://dbpedia.org/resource/Rotonda_de_los_Jaliscienses_Ilustres","Rotonda de los Jaliscienses Ilustres"
"http://dbpedia.org/resource/Torshälla_Church","Torshälla Church"
"http://dbpedia.org/resource/Hawaiian_Cottage","Hawaiian Cottage"
"http://dbpedia.org/resource/Lawang_Sewu","Lawang Sewu"
"http://dbpedia.org/resource/Old_Sitka_Site","Old Sitka Site"
"http://dbpedia.org/resource/Chowk_Yadgar","Chowk Yadgar"
"http://dbpedia.org/resource/Butte–Anaconda_Historic_District","Butte–Anaconda Historic District"
"http://dbpedia.org/resource/Jaya_Supermarket","Jaya Supermarket"
"http://dbpedia.org/resource/Ward_Homestead","Ward Homestead"
"http://dbpedia.org/resource/Christian_IV's_Arsenal","Christian IV's Arsenal"
"http://dbpedia.org/resource/Roseland_Theatre_(Nova_Scotia)","Roseland Theatre (Nova Scotia)"
"http://dbpedia.org/resource/Boldt_Castle","Boldt Castle"
"http://dbpedia.org/resource/Chiang_Kai-shek_Memorial_Hall","Chiang Kai-shek Memorial Hall"
"http://dbpedia.org/resource/Chicago_Water_Tower","Chicago Water Tower"
"http://dbpedia.org/resource/Fernsehturm_Stuttgart","Fernsehturm Stuttgart"
"http://dbpedia.org/resource/Fraunces_Tavern","Fraunces Tavern"
"http://dbpedia.org/resource/Gooderham_Building","Gooderham Building"
"http://dbpedia.org/resource/Grouseland","Grouseland"
"http://dbpedia.org/resource/Peachtree_Street","Peachtree Street"
"http://dbpedia.org/resource/Aerial_Lift_Bridge","Aerial Lift Bridge"
